Sample,Observe,Chao1,ACE,Shannon,Simpson,J
HBT_12,86,135.6,124.0847508,3.258620165,0.903690682,0.731559519
HBT_8,82,101.25,99.58845777,3.326891551,0.929443565,0.754958817
HBV_11,88,113.0714286,116.4461933,3.568033393,0.948331065,0.796909757
HBV_12,64,127,105.6296849,2.75053541,0.8666484,0.661363966
HBV_22,75,90,93.12555609,3.223410185,0.926992962,0.746593876
HBV_46,67,88.08333333,90.4464194,2.830214315,0.888411357,0.673108494
HBV_5,52,65.6,73.22913121,2.568233566,0.850122222,0.649981056
HBV_52,94,172.75,137.4560691,3.693051457,0.95742231,0.812857548
HBV_56,52,94.75,83.03981497,2.989420763,0.912076917,0.756577163
HBV_59,37,56.5,49.89684489,2.149757884,0.806042153,0.59534942
HBV_61,85,131.5,116.9018628,3.227543611,0.897317883,0.726490428
HBV_64,72,100.1111111,95.54419735,3.353272278,0.937999126,0.78408559
HBV_68,66,94.11111111,90.65240369,2.711726215,0.831009981,0.647243361
N39,62,104,112.9544494,2.460638996,0.793841474,0.596210049
N41,79,109.6666667,102.9093413,3.5528629,0.953457013,0.813114842
N42,53,81.875,78.47712492,1.852565796,0.637674021,0.466606949
N43,86,105.5,115.3527682,3.255321213,0.899488329,0.730818905
N44,89,114.5882353,118.1038955,3.302956823,0.923794248,0.735848608
N45,143,215.7307692,231.9770285,3.916643766,0.955710583,0.789193307
N72,92,158.6,142.8699089,3.522984093,0.944993812,0.779112962
ZR4_12,42,68.25,56.77029915,1.929736697,0.712466674,0.51629408
ZR4_14,54,73.42857143,71.89981096,2.801877513,0.891049757,0.70240379
ZR4_15,91,124.8333333,118.714186,3.67092919,0.956680356,0.813798165
ZR4_16,116,159.1578947,161.4303137,3.901699125,0.964349266,0.820789965
ZR4_19,99,120.3684211,126.2729783,3.70263482,0.954094293,0.805775462
ZR4_2,59,113,127.0308059,2.829881151,0.888519109,0.694017208
ZR4_22,67,96.25,99.57039372,2.345380151,0.714988086,0.55780062
ZR4_23,97,126.1764706,135.3914136,3.825647561,0.967683441,0.836259947
