No,Healthy,HBVI,CHB,LC
1,OTU_1,OTU_1,OTU_1,OTU_1
2,OTU_18,OTU_18,OTU_18,OTU_18
3,OTU_17,OTU_17,OTU_17,OTU_17
4,OTU_136,OTU_136,OTU_136,OTU_136
5,OTU_69,OTU_69,OTU_69,OTU_69
6,OTU_49,OTU_49,OTU_49,OTU_49
7,OTU_222,OTU_222,OTU_222,OTU_222
8,OTU_59,OTU_59,OTU_59,OTU_59
9,OTU_82,OTU_82,OTU_82,OTU_82
10,OTU_44,OTU_44,OTU_44,OTU_44
11,OTU_56,OTU_56,OTU_56,OTU_56
12,OTU_89,OTU_89,OTU_89,OTU_89
13,OTU_2,OTU_2,OTU_2,OTU_2
14,OTU_76,OTU_76,OTU_76,OTU_76
15,OTU_13,OTU_13,OTU_13,OTU_13
16,OTU_7,OTU_7,OTU_7,OTU_7
17,OTU_20,OTU_20,OTU_20,OTU_20
18,OTU_40,OTU_40,OTU_40,OTU_40
19,OTU_61,OTU_61,OTU_61,OTU_61
20,OTU_150,OTU_150,OTU_150,OTU_150
21,OTU_6,OTU_6,OTU_6,OTU_6
22,OTU_394,OTU_394,OTU_394,OTU_394
23,OTU_35,OTU_35,OTU_35,OTU_35
24,OTU_159,OTU_159,OTU_159,OTU_159
25,OTU_214,OTU_214,OTU_214,OTU_214
26,OTU_652,OTU_652,OTU_652,OTU_652
27,OTU_79,OTU_79,OTU_79,OTU_79
28,OTU_30,OTU_30,OTU_30,OTU_30
29,OTU_33,OTU_33,OTU_33,OTU_33
30,OTU_75,OTU_75,OTU_75,OTU_75
31,OTU_8,OTU_8,OTU_8,OTU_8
32,OTU_34,OTU_34,OTU_34,OTU_34
33,OTU_68,OTU_68,OTU_68,OTU_68
34,OTU_519,OTU_519,OTU_519,OTU_519
35,OTU_1226,OTU_1226,OTU_1226,OTU_1226
36,OTU_10,OTU_10,OTU_10,OTU_10
37,OTU_24,OTU_24,OTU_24,OTU_24
38,OTU_128,OTU_128,OTU_128,OTU_128
39,OTU_571,OTU_571,OTU_571,OTU_571
40,OTU_473,OTU_473,OTU_473,OTU_473
41,OTU_113,OTU_113,OTU_113,OTU_113
42,OTU_135,OTU_254,OTU_254,OTU_254
43,OTU_175,OTU_135,OTU_135,OTU_135
44,OTU_238,OTU_175,OTU_175,OTU_175
45,OTU_112,OTU_238,OTU_238,OTU_238
46,OTU_309,OTU_112,OTU_112,OTU_112
47,OTU_1091,OTU_309,OTU_309,OTU_309
48,OTU_144,OTU_1091,OTU_1091,OTU_1091
49,OTU_704,OTU_144,OTU_144,OTU_144
50,OTU_207,OTU_704,OTU_704,OTU_704
51,OTU_194,OTU_207,OTU_207,OTU_207
52,OTU_4,OTU_194,OTU_194,OTU_194
53,OTU_162,OTU_4,OTU_4,OTU_4
54,OTU_1031,OTU_162,OTU_162,OTU_162
55,OTU_11,OTU_1031,OTU_1031,OTU_1031
56,OTU_1063,OTU_11,OTU_11,OTU_11
57,OTU_357,OTU_1063,OTU_1063,OTU_1063
58,OTU_28,OTU_357,OTU_357,OTU_357
59,OTU_140,OTU_486,OTU_486,OTU_486
60,OTU_147,OTU_28,OTU_28,OTU_28
61,OTU_127,OTU_140,OTU_592,OTU_592
62,OTU_499,OTU_147,OTU_140,OTU_140
63,OTU_451,OTU_127,OTU_147,OTU_147
64,OTU_156,OTU_499,OTU_127,OTU_127
65,OTU_256,OTU_451,OTU_499,OTU_499
66,OTU_37,OTU_156,OTU_451,OTU_451
67,OTU_161,OTU_256,OTU_156,OTU_156
68,OTU_397,OTU_37,OTU_256,OTU_256
69,OTU_36,OTU_161,OTU_37,OTU_37
