Samples,Category,Bifidobacterium longum,Actinomyces odontolyticus,Leptotrichia hofstadii,Leptotrichia genomosp,Leptotrichia sp.,Leptotrichia hongkongensis,Fusobacterium periodonticum,Alistipes shahii,Prevotella sp.,Muribaculum intestinale,Prevotella conceptionensis,Alistipes onderdonkii,Alistipes obesi,Butyricimonas paravirosa,Prevotellamassilia timonensis,Bacteroides eggerthii,Alistipes sp.,Barnesiella intestinihominis,Lactobacillus mucosae,Okadaella gastrococcus,Howardella ureilytica,Lactobacillus salivarius,Parasporobacterium paucivorans,Acetanaerobacterium sp.,Dialister sp.,Coprococcus sp.,Solobacterium moorei,Intestinimonas massiliensis,Selenomonas sp.,Anaerofilum sp.,Peptostreptococcaceae bacterium,Paludicola psychrotolerans,Lachnoanaerobaculum saburreum,Anaerotruncus colihominis,Oscillibacter sp.,Peptostreptococcus stomatis,Gemella haemolysans,Ruminococcaceae bacterium,Clostridiales bacterium,Pseudoflavonifractor capillosus,Ruminococcus callidus,Streptococcus anginosus,Anaerostipes hadrus,Kineothrix alysoides,Campylobacter concisus,Desulfovibrio sp,Campylobacter showae,Eikenella corrodens,Succinivibrio dextrinosolvens
HBT_12,CHB,0.0005,6.67E-05,0,0,0,0,0,0.000166667,0,0,0,3.33E-05,0.0004,0.000133333,0,0.000133333,0,0.0001,0,0.000233333,0,0,0,6.67E-05,0,0.0419,3.33E-05,0.002833333,0,0,0.0005,0,0,0,0.0001,0,3.33E-05,0.004633333,0.0002,3.33E-05,0.0007,6.67E-05,0,6.67E-05,0,0,0,0,0
HBT_8,HBVI,0.0035,6.67E-05,0,0,0,0,0,0.001933333,0,0,0,0.000966667,0.000133333,0,0,0.0001,0.0004,0.002533333,0,0.000166667,0,0,0.000133333,0.0001,0.0125,0.046366667,3.33E-05,0.001666666,0,6.67E-05,1.13E-03,3.33E-05,0,0,0,0,0.0002,0.007066667,0.0011,0.000133333,0.000533333,0.000366667,0,4.90E-03,0,0,0,3.33E-05,0
HBV_11,CHB,0.0006,0.000266667,0,0,0,0,0.000433333,0.006333333,0,0,0,0.0044,0.002766667,0.0007,0,0,0.0008,0.008233333,0.0204,0.000666667,0,0.016666667,0.0008,0,0,0,0,0.0112,0,0,0,0,0,0.000566667,0,0,0.000166667,0.014066667,0,0.000766667,0,0.0004,0,2.23E-03,0,0,0,0,0
HBV_12,CHB,0,6.67E-05,0,0,0,0,3.33E-05,0.0034,0,0,0,3.33E-05,0,0.003966667,0,0,0.000433333,0,0.0005,0.000133333,0,0.000433333,0,0,0,0,0,0.000166667,0,0,0.0001,0,6.67E-05,0.0007,0.0002,3.33E-05,3.33E-05,0,0,0.000166667,0,0.0014,0,4.67E-04,0,0,0,0,0
HBV_22,CHB,3.33E-05,0.000233333,0,0,0,0,3.33E-05,0.000766667,0,0,0,0.0039,0,0,0,0.005433333,3.33E-05,0.0007,0,3.33E-05,0,0.0002,0,0,0,0,0,0.0000667,0,0,0,0,0,3.33E-05,0,0.0011,6.67E-05,0.002633333,0,0,0,0.0004,0,3.33E-05,3.33E-05,0,0,0,0
HBV_46,CHB,3.33E-05,0.0001,0,0,0,0,3.33E-05,0.000233333,0,0,0,0.000666667,0,0,0,0.0008,0.0001,0.001566667,0,0,0,0,0,0,0,0.003066667,0,0.000733333,0,0,0.0000667,0,0,0,3.33E-05,0,0,0.003533333,0.0002,0,0,0,0,6.77E-03,0,0,0,0,0
HBV_5,CHB,0.002766667,0.0004,0,0,0,0,6.67E-05,0.000866667,0,0,0,0.008766667,0,0,0,0,0,0,0.002366667,0.0008,0,0,0,0,0,0,0,0,0.0000666,0,0,0,0,0,0,0.000166667,0.001333333,3.33E-05,0,0.0001,0,0.0011,0,0.00E+00,0,0,0,0.000233333,0
HBV_52,HBVI,0.000766667,0.001466667,0,0,0,0,0.000266667,0.002233333,0,0,0,0.0059,0.0004,0,0,0.000166667,0.0011,0.0009,0,0.000733333,0,0,0,6.67E-05,3.33E-05,0,0,0.0083,0,0.000466667,0.0009,0.000233333,3.33E-05,0.000466667,0.000166667,0.0001,0.0004,0.031066667,0.0022,0.0003,0,0.006766667,0,7.00E-04,0,0,0,0,0
HBV_56,CHB,0.000133333,0.0001,0,0,0,0,0.000433333,0.000133333,0,0,0,0,0,0.000166667,0,0,0,0,0,0.0005,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0.0001,0,0,0.000433333,0,0,0,0,0.000166667,0,0.00E+00,0.0003,0,3.33E-05,0,0
HBV_59,CHB,0.003833333,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.004766667,0.0001,0,0.004566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0.000933333,0,0.00E+00,0,0,0,0,0
HBV_61,CHB,0,3.33E-05,0,0,0,0,0,0.001,0,0,0,0.010233333,0,0.0001,0,0,0.000266667,0.0062,0.0005,0,0,0.0008,0.000266667,0,0,0.0059,0,0.0073,0,0,0,0.0001,0,3.33E-05,0,0,3.33E-05,0.0005,0.000666667,3.33E-05,0.000166667,0.0001,0,1.38E-02,0,0,0,0,0
HBV_64,CHB,0.0057,0.0002,0,0,3.33E-05,0,0.0001,0.0005,0,0,0,0.000233333,6.67E-05,0,0,3.33E-05,0.000133333,0.000266667,3.33E-05,0.000133333,0,0.000666667,0,0,0.009733333,0.002666667,0,0.000533333,0.0000667,0,0,0,0,0,0,0,6.67E-05,0.0013,0.0001,0,0.0004,0.0004,0,3.00E-04,3.33E-05,0,0,0,0
HBV_68,CHB,0,0.000133333,0,6.67E-05,0,0.0001,0,0.0012,0,0,0,0.006133333,0.000133333,3.33E-05,0,0,0,0,0.002133333,0.000633333,0,0,0.0006,0,0,0.000133333,0,0.000466667,0.000266633,0,0,0,3.33E-05,0,0,0,0,0.004166667,0,6.67E-05,0.0001,0.000233333,0,4.33E-04,3.33E-05,0,0,0,0
N39,Healthy,3.33E-05,0,0,0,0,0,0,0.000566667,0,0,0,0.0002,0.0001,0,0,6.67E-05,0.0001,0,0,0.0001,0,0,0.000966667,0,0,0.003833333,0,0.0023,0,0,0.0000333,0,0,0,0,0,3.33E-05,0.0059,0.000466667,0,0,0.000133333,0,2.67E-04,6.67E-05,0,0,0,0
N41,Healthy,0,0.0002,0,0,0,0,0,0.0015,0,0,0,0.000533333,0.000333333,0,0,0.009366667,0,0.001133333,0,0,0,0,0.000133333,0,0.000566667,6.67E-05,0,0.005266667,0,0,0.0002333,0,0,3.33E-05,6.67E-05,0,0,0.0102,0.0017,0.0002,0.003166667,0,0,1.67E-04,0,0,0,0,0
