,Bifidobacterium.longum,Actinomyces.odontolyticus,Leptotrichia.hofstadii,Leptotrichia.genomosp,Leptotrichia.sp.,Leptotrichia.hongkongensis,Fusobacterium.periodonticum,Alistipes.shahii,Prevotella.sp.,Muribaculum.intestinale,Prevotella.conceptionensis,Alistipes.onderdonkii,Alistipes.obesi,Butyricimonas.paravirosa,Prevotellamassilia.timonensis,Bacteroides.eggerthii,Alistipes.sp.,Barnesiella.intestinihominis,Lactobacillus.mucosae,Okadaella.gastrococcus,Howardella.ureilytica,Lactobacillus.salivarius,Parasporobacterium.paucivorans,Acetanaerobacterium.sp.,Dialister.sp.,Coprococcus.sp.,Solobacterium.moorei,Intestinimonas.massiliensis,Selenomonas.sp.,Anaerofilum.sp.,Peptostreptococcaceae.bacterium,Paludicola.psychrotolerans,Lachnoanaerobaculum.saburreum,Anaerotruncus.colihominis,Oscillibacter.sp.,Peptostreptococcus.stomatis,Gemella.haemolysans,Ruminococcaceae.bacterium,Clostridiales.bacterium,Pseudoflavonifractor.capillosus,Ruminococcus.callidus,Streptococcus.anginosus,Anaerostipes.hadrus,Kineothrix.alysoides,Campylobacter.concisus,Desulfovibrio.sp,Campylobacter.showae,Eikenella.corrodens,Succinivibrio.dextrinosolvens
WBC,-0.13,-0.21,-0.09,-0.05,-0.07,-0.08,-0.2,0.06,0.03,0.08,0.07,0.02,-0.03,0.01,0.04,0.14,-0.01,0.09,-0.18,-0.17,-0.34,-0.23,0.25,0.13,0.15,0.04,-0.22,0.13,-0.09,0.19,0.22,0.12,-0.24,-0.02,-0.05,-0.05,-0.18,0.07,0.24,-0.06,0.11,-0.06,0.08,0.09,-0.06,0.01,-0.07,-0.11,-0.06
RBC,-0.15,-0.31,-0.28,-0.13,-0.22,-0.27,-0.31,0.14,0.05,0.17,0.12,0.08,0.06,-0.12,-0.01,0.11,0.04,0.14,-0.14,-0.19,-0.22,-0.25,0.24,0.01,0.15,-0.05,-0.31,0.01,-0.31,0.02,0.15,0.06,-0.41,-0.14,-0.14,-0.08,-0.26,0.14,0.07,-0.02,0.15,-0.14,0.05,0.22,-0.25,0.18,-0.25,-0.29,0.02
Hb,-0.12,-0.31,-0.28,-0.09,-0.23,-0.3,-0.29,0.16,0.07,0.17,0.12,0.11,0.06,-0.12,0.03,0.11,0.05,0.15,-0.15,-0.21,-0.35,-0.27,0.15,-0.04,0.12,-0.03,-0.29,0.06,-0.34,0.01,0.11,0.01,-0.4,-0.18,-0.15,-0.08,-0.31,0.12,0.05,0,0.15,-0.11,-0.02,0.2,-0.28,0.18,-0.28,-0.29,-0.01
PLT,-0.04,-0.27,-0.19,-0.13,-0.18,-0.22,-0.3,0.2,0.09,0.07,0.08,0.15,0.32,0.19,0.05,0.18,0.23,0.1,0.06,-0.21,-0.34,-0.04,0.31,0.22,0.26,0.19,-0.25,0.18,-0.3,0.14,0.21,0.17,-0.37,0.08,0.13,-0.17,-0.29,0.32,0.18,0.08,0.3,-0.13,0.2,0.15,-0.15,0.11,-0.16,-0.25,0.01
TP,0,-0.16,-0.16,-0.02,-0.15,-0.25,-0.09,0.05,0.13,0.22,0.23,0.02,0.07,-0.48,0.06,0.09,-0.02,0.13,0.02,-0.12,-0.15,0.01,0.26,0.02,0.03,-0.08,-0.17,-0.17,-0.27,-0.06,0,0.03,-0.23,-0.22,-0.16,-0.03,-0.15,-0.02,-0.05,0.13,0.05,-0.08,0.08,0.04,-0.27,0.18,-0.27,-0.19,0.15
ALB,-0.2,-0.21,-0.23,-0.15,-0.21,-0.25,-0.2,0.19,0.2,0.32,0.26,0.14,0.11,-0.31,0.07,0.14,0.04,0.19,-0.05,-0.19,-0.23,-0.09,0.35,0.04,0.2,-0.02,-0.24,-0.06,-0.31,0,0.14,0.05,-0.3,-0.09,-0.03,-0.17,-0.22,0.06,0.02,0.04,0.14,-0.18,0.06,0.13,-0.19,0.31,-0.2,-0.26,0.09
GLO,0.26,0.08,0.1,0.18,0.08,0.01,0.14,-0.18,-0.09,-0.14,-0.04,-0.16,-0.05,-0.22,-0.01,-0.07,-0.08,-0.09,0.09,0.1,0.12,0.13,-0.13,-0.03,-0.22,-0.07,0.1,-0.14,0.06,-0.08,-0.18,-0.03,0.1,-0.17,-0.16,0.18,0.09,-0.11,-0.1,0.11,-0.12,0.13,0.03,-0.13,-0.1,-0.18,-0.08,0.1,0.07
ALB/GLO,-0.24,-0.17,-0.18,-0.17,-0.17,-0.16,-0.2,0.22,0.22,0.29,0.17,0.17,0.09,-0.1,0.03,0.1,0.03,0.15,-0.09,-0.18,-0.18,-0.13,0.28,0.03,0.27,0.03,-0.18,0.03,-0.22,0.04,0.16,0.03,-0.23,0.04,0.02,-0.21,-0.19,0.07,0.04,-0.04,0.12,-0.17,0,0.13,-0.07,0.33,-0.09,-0.19,-0.01
AST/ALT,-0.07,0.16,0.46,0.03,0.43,0.46,0.31,-0.16,-0.08,-0.03,-0.04,-0.14,-0.12,0.12,0.01,-0.1,-0.08,-0.11,0.02,0.17,0.21,0.15,-0.09,0.01,-0.05,-0.07,0.08,-0.19,0.35,-0.09,-0.15,-0.03,0.19,-0.08,0.05,0,0.49,-0.09,-0.08,-0.01,-0.19,0.01,0.02,-0.12,0.42,0.01,0.45,0.16,0.01
HDL_C,0.1,-0.26,-0.06,0.03,-0.08,-0.09,-0.2,0.21,0.21,0.13,0.15,0.23,-0.07,-0.13,0.11,0.05,0.16,0.15,-0.18,-0.25,-0.2,-0.11,-0.01,-0.06,-0.04,-0.06,-0.12,-0.12,-0.14,-0.01,-0.04,-0.06,-0.16,0.02,0.13,-0.17,-0.19,0.01,-0.02,-0.1,-0.09,-0.21,0,0.1,-0.07,0.18,-0.07,-0.09,0.13
