Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Acinetobacter,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Firmicutes_Anaerovorax,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Firmicutes_Bulleidia,Proteobacteria_Burkholderia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Acidobacteria_CandidatusKoribacter,Bacteroidetes_Capnocytophaga,Firmicutes_Catenibacterium,Firmicutes_cc_115,Bacteroidetes_CF231,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Bacteroidetes_Dysgonomonas,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Firmicutes_Finegoldia,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Proteobacteria_Helicobacter,Firmicutes_Holdemania,Proteobacteria_Kingella,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Proteobacteria_Lautropia,Fusobacteria_Leptotrichia,Firmicutes_Macrococcus,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Mogibacterium,Firmicutes_Moryella,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_ph2,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4-4,Proteobacteria_Rhodoplanes,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Actinobacteria_Scardovia,Firmicutes_Schwartzia,Firmicutes_Selenomonas,Actinobacteria_Slackia,Spirochaetes_Sphaerochaeta,Firmicutes_Staphylococcus,Firmicutes_Streptococcus,Firmicutes_Succiniclasticum,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella,Firmicutes_WAL_1855D
1,0,0,0,0,0,0,6.7308,6.4496,0,0,0,0,10.6694,2.7316,0,2.3872,99.3061,26.7083,2.7316,55.2036,1.2693,3.4427,20.0608,0,1.9339,0,8.9908,0,0,0,23.0016,9.7295,0,0,37.6894,0,3.0094,0,9.381,10.423,32.8951,0,1.2693,0,4.1639,4.2732,10.3937,0,16.4214,18.0506,0,2.7316,0,34.4107,5.733,0,0,0,0,25.6184,1.2693,0,9.0067,0,0,0,5.483,67.4647,3.4427,50.0507,0,12.0754,0,1.2693,0,17.4631,0,150.7173,0,0,0,0,0,2.7316,11.8903,5.1761,70.1931,0,0,0,5.0013,0,0,28.7573,0,14.3966,0,9.4022,27.254,0
2,0,0,0,5.3206,0,0,10.1523,8.1994,1.3413,4.3881,0,0,16.3343,6.9327,0,0,162.4684,8.8483,7.8329,45.5332,0,0,20.4958,0,0,0,0,0,0,0,19.9705,0,0,0,14.6382,1.3413,0,0,10.505,3.827,30.7119,0,3.3508,0,0,0,2.0241,2.4857,14.8978,6.3948,0,0,0,21.0499,33.217,0,0,0,0,9.8511,5.8365,0,0,0,0,0,8.5808,39.2616,8.3289,44.3768,4.3881,0,1.3413,0,0,19.1215,3.827,13.3869,0,0,0,0,0,0,9.8854,6.7228,69.0979,0,0,0,0,0,0,32.5719,0,17.7495,0,2.0241,18.6058,0
3,0,0,4.7356,10.9141,0,0,11.1355,0,0,4.7356,0,0,5.7082,7.6615,0,3.5836,177.7472,3.9683,9.7512,50.7968,2.2213,0,29.1502,7.3293,0,0,0,0,0,0,12.9896,0,0,5.3678,15.2033,7.5002,0,0,9.0556,8.6697,26.8565,0,6.3503,0,0,0,7.9366,3.0576,2.2213,5.2338,0,3.0576,0,20.4178,20.6574,0,0,0,0,5.2789,0,0,0,0,2.2213,0,7.4662,68.6469,0,56.1203,0,0,4.5222,3.9683,0,13.821,0,23.0043,0,0,3.0576,3.0576,0,0,17.1466,10.3323,67.2085,0,0,2.2213,0,0,0,38.1384,0,2.2213,0,5.8059,19.6866,0
4,4.7521,0,0,11.0161,0,0,9.1264,0,1.583,6.0174,4.7521,0,0,3.1674,0,3.9042,184.5543,14.6103,6.7653,42.481,0,0,9.8477,6.2241,0,0,0,0,12.959,1.583,14.8379,0,0,0,21.2378,0,0,0,7.8859,26.3807,27.9284,0,3.9042,0,3.6978,0,9.5551,7.544,17.1733,8.6801,0,3.6978,0,26.4366,6.8656,0,0,0,0,6.7091,21.7935,0,0,0,0,0,7.7587,21.137,2.3196,43.6099,0,0,12.3949,7.785,5.7785,6.6246,23.6096,57.6274,0,6.4729,1.583,1.583,0,0,16.0196,4.2452,61.6235,0,0,0,1.583,0,0,25.6669,0,17.6416,0,2.3196,32.949,9.4708
5,0,0,0,2.45,0,5.44,8.1978,1.6925,0,9.1497,0,0,7.9457,0,0,0,144.2889,13.5708,7.5238,47.8484,0,0,13.2336,0,0,0,0,0,12.4,0,16.6125,7.3766,0,0,31.4357,0,0,0,0,2.45,25.4023,0,0,0,0,0,9.644,0,1.6925,14.0973,0,3.3116,0,16.6837,1.6925,0,0,0,0,43.9925,0,0,0,1.6925,0,1.6925,8.0826,34.4917,0,44.812,0,0,0,0,0,13.25,0,51.8698,0,0,0,0,0,0,9.0499,1.6925,57.3823,0,0,0,0,0,0,15.9378,0,16.6502,0,4.0553,12.723,0
6,0,0,3.7887,13.489,0,0,11.0329,0,2.0721,2.0721,0,0,10.3119,3.4081,0,6.6944,147.8546,20.8033,8.6726,37.3383,0,0,0,3.7887,0,0,2.0721,0,3.7887,4.3385,16.4336,5.415,0,0,9.71,2.0721,0,0,5.0466,5.8608,31.7744,0,4.8995,6.649,0,0,3.7887,0,6.6782,12.961,0,0,0,17.3598,22.3677,0,0,0,0,10.7123,7.228,0,0,0,2.0721,0,0,31.7059,0,26.3358,2.0721,0,0,5.5195,0,14.633,0,16.5929,0,0,5.4802,2.0721,0,0,12.7101,9.3193,52.8805,0,2.0721,8.8798,0,0,0,47.7175,2.0721,15.3835,2.0721,0,40.7978,0
7,2.9726,0,2.1456,13.851,0,3.8776,5.5084,2.1456,18.6097,7.3992,0,0,6.9575,4.1798,0,2.9726,173.6733,9.7929,9.4434,31.1123,0,0,29.2828,14.9332,0,0,0,0,0,0,25.0038,0,0,0,13.3085,2.1456,0,0,0,9.017,74.7929,0,3.4949,4.4295,3.4949,0,8.5199,0,19.0522,16.9936,0,4.4295,0,34.8116,0,0,3.4949,0,0,2.1456,2.9726,0,0,0,2.1456,0,0,35.3974,0,29.4887,0,0,0,4.1798,0,13.599,0,12.7722,0,0,4.9919,0,0,0,24.3584,8.3338,48.4059,0,0,3.8776,0,0,0,38.4587,0,13.917,0,0,23.836,3.8776
8,0,0,3.2441,18.8291,0,0,4.1658,0,0,0,0,0,0,0,0,4.7238,123.2259,32.4756,11.106,25.3548,0,0,0,5.6962,0,0,0,0,0,0,11.7251,0,0,0,15.9657,0,0,0,3.2441,9.1587,10.406,0,3.2441,0,5.9146,0,4.1658,0,7.0013,12.2128,0,0,0,10.0804,58.6303,0,0,3.2441,0,6.4882,28.8231,0,0,0,0,0,0,15.1641,0,15.55,0,0,0,0,0,3.2441,3.2441,14.5974,0,0,0,5.4387,0,0,4.1658,3.2441,19.8058,4.1658,0,3.2441,0,0,0,51.4785,0,17.1502,3.2441,0,44.0042,0
9,0,0,0,0,0,0,6.0668,6.3395,1.3972,10.8082,0,0,15.1016,4.6548,0,2.0936,142.0649,8.2534,7.9335,50.1341,0,0,19.4635,0,0,0,0,0,0,1.3972,13.8867,6.6059,0,0,33.1523,1.3972,4.888,1.3972,10.846,12.4442,29.6596,0,0,0,0,0,3.6367,0,3.4908,10.483,0,3.6367,0,33,20.178,0,0,0,0,12.7242,3.4908,5.3871,0,0,0,0,11.3762,49.9523,5.3297,80.183,0,0,0,0,0,16.0818,1.3972,53.6822,0,0,0,0,2.0936,0,13.7982,5.2905,100.6145,0,0,0,0,0,0,16.6706,0,23.3826,0,4.8469,26.0695,1.3972
10,0,0,0,1.4585,0,0,6.9356,10.828,6.1648,8.9122,0,0,3.5222,2.1688,2.1688,2.6426,122.233,24.5896,4.5685,48.7507,0,0,2.1688,2.917,0,0,0,0,0,0,15.1376,0,0,0,32.035,0,0,0,6.9114,15.823,31.8177,0,7.1559,1.4585,5.237,0,0,0,5.1685,14.7375,0,0,1.4585,33.639,28.7032,2.1688,0,4.1011,0,36.3817,16.3595,0,0,0,0,1.4585,4.4581,34.7915,2.1688,33.6547,0,0,0,0,0,11.663,0,35.5538,5.9986,0,0,0,0,0,17.1905,6.1295,66.5407,0,5.0858,13.2265,0,0,2.1688,35.1885,0,17.8335,1.4585,0,38.7535,0
