Row,Col,Corr
1,Bacteroidetes_5.7N15,Firmicutes_1.68,-0.091355141
2,Firmicutes_Abiotrophia,Firmicutes_1.68,0.337913329
3,Firmicutes_Acidaminococcus,Firmicutes_1.68,-0.102704541
4,Proteobacteria_Acinetobacter,Firmicutes_1.68,-0.005914972
5,Proteobacteria_Actinobacillus,Firmicutes_1.68,0.067191046
6,Actinobacteria_Actinomyces,Firmicutes_1.68,0.290122346
7,Actinobacteria_Adlercreutzia,Firmicutes_1.68,-0.151727537
8,Proteobacteria_Aggregatibacter,Firmicutes_1.68,0.294731078
9,Verrucomicrobia_Akkermansia,Firmicutes_1.68,0.378311377
10,Firmicutes_Anaerococcus,Firmicutes_1.68,0.843282479
11,Firmicutes_Anaerofustis,Firmicutes_1.68,0.521096435
12,Firmicutes_Anaerostipes,Firmicutes_1.68,-0.139037242
13,Firmicutes_Anaerotruncus,Firmicutes_1.68,-0.141022642
14,Firmicutes_Anaerovorax,Firmicutes_1.68,0.483036798
15,Actinobacteria_Atopobium,Firmicutes_1.68,0.293718833
16,Bacteroidetes_Bacteroides,Firmicutes_1.68,-0.00670752
17,Actinobacteria_Bifidobacterium,Firmicutes_1.68,0.03639756
18,Proteobacteria_Bilophila,Firmicutes_1.68,-0.113200338
19,Firmicutes_Blautia,Firmicutes_1.68,-0.037679088
20,Firmicutes_Bulleidia,Firmicutes_1.68,0.18326535
21,Proteobacteria_Burkholderia,Firmicutes_1.68,-0.091355141
22,Bacteroidetes_Butyricimonas,Firmicutes_1.68,-0.131398667
23,Proteobacteria_Campylobacter,Firmicutes_1.68,0.161952553
24,Acidobacteria_CandidatusKoribacter,Firmicutes_1.68,-0.091355141
25,Bacteroidetes_Capnocytophaga,Firmicutes_1.68,-0.091355141
26,Firmicutes_Catenibacterium,Firmicutes_1.68,-0.143892185
27,Firmicutes_cc_115,Firmicutes_1.68,-0.162457418
28,Bacteroidetes_CF231,Firmicutes_1.68,0.202372217
29,Firmicutes_Christensenella,Firmicutes_1.68,0.239109903
30,Firmicutes_Clostridium,Firmicutes_1.68,0.200392219
31,Actinobacteria_Collinsella,Firmicutes_1.68,0.212079609
32,Proteobacteria_Comamonas,Firmicutes_1.68,0.14413806
33,Firmicutes_Coprobacillus,Firmicutes_1.68,-0.17069358
34,Firmicutes_Coprococcus,Firmicutes_1.68,-0.246074107
35,Actinobacteria_Corynebacterium,Firmicutes_1.68,0.490985397
36,Firmicutes_Dehalobacterium,Firmicutes_1.68,-0.089961271
37,Proteobacteria_Delftia,Firmicutes_1.68,-0.091355141
38,Proteobacteria_Desulfovibrio,Firmicutes_1.68,-0.165920323
39,Firmicutes_Dialister,Firmicutes_1.68,0.261799121
40,Firmicutes_Dorea,Firmicutes_1.68,0.444151795
41,Bacteroidetes_Dysgonomonas,Firmicutes_1.68,-0.091355141
42,Actinobacteria_Eggerthella,Firmicutes_1.68,0.345342052
43,Proteobacteria_Eikenella,Firmicutes_1.68,-0.004686083
44,Firmicutes_Enterococcus,Firmicutes_1.68,0.303741872
45,Firmicutes_Epulopiscium,Firmicutes_1.68,-0.027659573
46,Firmicutes_Eubacterium,Firmicutes_1.68,0.389976175
47,Firmicutes_Finegoldia,Firmicutes_1.68,0.506370819
48,Fusobacteria_Fusobacterium,Firmicutes_1.68,0.295740232
49,Proteobacteria_Haemophilus,Firmicutes_1.68,0.146284101
50,Proteobacteria_Helicobacter,Firmicutes_1.68,0.256626011
51,Firmicutes_Holdemania,Firmicutes_1.68,0.174315902
52,Proteobacteria_Kingella,Firmicutes_1.68,-0.091355141
53,Firmicutes_Lachnospira,Firmicutes_1.68,-0.094180024
54,Firmicutes_Lactobacillus,Firmicutes_1.68,0.233793596
55,Firmicutes_Lactococcus,Firmicutes_1.68,0.081566383
56,Proteobacteria_Lautropia,Firmicutes_1.68,0.12348817
57,Fusobacteria_Leptotrichia,Firmicutes_1.68,0.069611064
58,Firmicutes_Macrococcus,Firmicutes_1.68,-0.091355141
59,Firmicutes_Megamonas,Firmicutes_1.68,0.002001393
60,Firmicutes_Megasphaera,Firmicutes_1.68,-0.020982804
61,Euryarchaeota_Methanobrevibacter,Firmicutes_1.68,-0.184796769
62,Firmicutes_Mitsuokella,Firmicutes_1.68,-0.091355141
63,Firmicutes_Mogibacterium,Firmicutes_1.68,0.076805302
64,Firmicutes_Moryella,Firmicutes_1.68,0.128549592
65,Proteobacteria_Neisseria,Firmicutes_1.68,0.102178667
66,Bacteroidetes_Odoribacter,Firmicutes_1.68,0.070355874
67,Firmicutes_Oscillospira,Firmicutes_1.68,-0.152883326
68,Proteobacteria_Oxalobacter,Firmicutes_1.68,-0.228147644
69,Bacteroidetes_Paraprevotella,Firmicutes_1.68,-0.271508284
