Sample,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Acinetobacter,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Firmicutes_Anaerovorax,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Firmicutes_Bulleidia,Proteobacteria_Burkholderia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Firmicutes_Catenibacterium,Bacteroidetes_CF231,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Firmicutes_Finegoldia,Fusobacteria_Fusobacterium,Firmicutes_Geobacillus,Proteobacteria_Haemophilus,Proteobacteria_Helicobacter,Firmicutes_Holdemania,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Proteobacteria_Lautropia,Fusobacteria_Leptotrichia,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Mogibacterium,Firmicutes_Moryella,Deferribacteres_Mucispirillum,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Proteobacteria_Pandoraea,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_ph2,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4-4,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Actinobacteria_Scardovia,Firmicutes_Schwartzia,Firmicutes_Sedimentibacter,Firmicutes_Selenomonas,Actinobacteria_Slackia,Spirochaetes_Sphaerochaeta,Proteobacteria_Sphingomonas,Firmicutes_Staphylococcus,Firmicutes_Streptococcus,Firmicutes_Succiniclasticum,Proteobacteria_Succinivibrio,Proteobacteria_Sutterella,Firmicutes_Turicibacter,Firmicutes_Vagococcus,Firmicutes_Veillonella,Firmicutes_WAL_1855D
1,0,0,3.2278,0,0,1.2598,7.4396,4.0305,5.2903,0,0,0,15.7594,1.2598,1.2598,1.2598,137.245,29.9716,7.2965,57.775,2.3741,1.2598,7.2913,1.2598,0,0,2.7178,18.8467,17.456,0,0,42.0043,1.2598,0,0,8.2059,12.4448,39.4769,0,1.922,1.2598,0,10.0828,0,0,0,20.8071,0,1.2598,23.0358,2.3741,0,0,0,39.369,0,0,0,0,0,0,3.7605,6.2002,51.382,0,0,45.5313,0,0,0,1.2598,0,16.884,1.2598,54.8309,0,0,0,0,0,9.4275,6.6807,82.2374,0,0,0,2.7178,3.6038,0,0,0,38.3508,10.413,0,12.6008,2.7178,0,24.0687,0
2,0,0,4.6538,0,0,0,14.8105,6.4303,1.1841,8.2753,3.11,3.4826,1.1841,6.6288,0,4.328,155.8693,11.7992,8.6593,54.8139,3.11,0,30.3397,0,0,0,6.6655,3.7903,1.8256,0,0,14.552,9.2893,10.6558,1.1841,21.0649,9.6944,25.9843,9.5168,0,11.83,0,8.7936,1.8256,7.8553,1.8256,0,0,5.1437,0,1.1841,2.6062,0,0,7.6151,1.1841,0,0,0,0,0,1.1841,17.6944,69.7443,5.0908,0,63.945,2.6062,0,6.6999,4.4166,0,18.2982,1.1841,20.5687,0,0,7.2637,3.7785,0,2.2681,13.808,108.4275,2.6062,1.1841,1.1841,2.3682,1.1841,0,0,1.1841,43.0847,0,1.1841,11.3121,0,0,23.5529,0
3,0,0,0,4.7004,0,0,8.9035,5.2668,1.478,7.2721,0,0,13.6833,2.1926,1.478,3.0255,179.4442,8.1711,7.6121,54.9986,1.478,0,20.3584,0,0,0,0,11.2392,6.5524,0,0,39.0327,0,4.1464,0,8.6666,12.481,37.1713,0,0,2.1926,0,0,0,5.2329,0,18.3495,0,1.478,25.7743,3.5502,6.7568,0,0,4.3852,6.1425,0,0,0,1.478,0,6.2186,13.2406,64.4019,3.7549,0,33.3365,0,0,0,3.0255,0,6.5524,0,38.3826,4.0935,0,0,1.478,4.5978,10.0326,2.1926,82.0675,0,0,0,0,1.478,0,0,0,24.4561,0,0,23.9126,0,4.4873,20.2977,0
4,1.415,0,1.415,0,0,0,4.273,5.2352,0,4.3923,0,0,1.415,5.1699,0,1.415,151.8831,18.0995,5.5236,47.8679,1.415,0,12.2165,0,0,0,3.4594,20.6075,24.5406,0,3.8413,21.0096,1.415,0,0,6.4263,2.1155,45.8951,6.585,0,9.8575,0,14.1561,0,8.0279,0,5.6724,0,1.415,9.5236,0,0,0,0,3.5305,5.7638,0,0,1.415,0,0,0,6.6098,61.2763,1.415,0,62.045,0,0,0,0,1.415,13.027,5.17,11.908,6.1155,0,6.2159,5.3576,0,10.2946,4.8744,109.6792,0,0,0,2.1155,3.4594,0,0,0,16.2464,0,0,20.5817,5.1699,0,27.9283,2.1155
5,0,0,0,4.4204,0,0,4.017,8.8512,5.2845,2.6001,0,0,8.4896,0,0,2.6001,142.9835,18.1788,6.9953,43.7786,1.8203,0,19.1176,3.6406,0,0,0,28.0832,10.123,0,0,29.9896,0,1.8203,0,4.017,16.9927,23.3027,4.017,0,5.3753,0,0,0,13.889,0,10.9246,0,0,19.0551,6.6171,0,1.8203,5.7036,6.2299,22.2311,0,19.157,0,2.6001,0,3.7717,8.7613,38.1598,6.076,0,55.5896,0,3.1035,0,1.8203,0,11.49,0,62.3019,0,0,1.8203,0,0,9.4894,4.4096,39.4867,0,0,0,10.9059,0,0,0,0,26.4882,0,0,22.8251,4.017,0,36.7086,0
6,0,0,0,1.5908,0,0,2.8148,15.5754,0,4.0956,0,0,14.1032,7.9585,0,0,175.0319,8.8333,5.2179,52.2598,0,0,31.7837,0,0,0,3.4673,15.3518,8.5517,1.5908,0,43.1737,0,11.1236,0,5.5003,14.7166,40.4714,1.5908,0,2.3289,0,5.5105,0,3.9197,0,5.1377,0,1.5908,25.7436,12.9731,0,0,0,8.3206,3.9197,1.5908,2.3289,0,0,0,0,9.125,45.395,0,0,69.0996,0,0,0,0,0,11.9055,0,41.5237,0,0,1.5908,0,0,14.8663,1.5908,106.6539,0,0,0,0,0,0,0,0,7.1953,0,0,21.4368,7.7834,0,13.5545,0
7,0,0,1.3576,4.0728,0,0,1.3576,16.0834,0,4.7004,0,0,14.1054,3.402,0,1.3576,167.0815,5.2668,5.8392,49.3166,2.0444,0,29.1987,0,0,0,3.1396,13.2422,8.2411,0,0,39.3228,0,11.2692,1.3576,6.0914,16.2492,38.7247,0,0,4.5157,0,0,0,2.0444,0,5.1447,0,2.858,24.5288,5.6218,0,0,0,6.5966,5.8548,1.3576,3.402,0,0,0,0,9.4075,53.4922,3.375,0,67.3079,0,0,0,0,0,9.4175,0,32.0515,0,0,0,0,0,13.1034,0,95.4379,0,0,0,0,0,0,0,0,7.991,0,0,22.4137,8.2923,0,5.9686,0
8,0,0,0,0,0,0,14.3817,2.6093,4.0273,2.6093,0,4.9824,0,0,0,4.9824,135.4454,22.4184,0,54.7282,2.6093,0,5.2186,10.8016,0,2.6093,0,16.8086,2.6093,0,0,23.4779,7.3378,0,0,0,18.1522,47.2311,9.884,0,0,0,5.701,0,14.7612,0,14.519,0,0,6.0953,15.105,0,0,0,0,8.886,0,2.6093,0,0,0,2.6093,2.6093,17.276,0,0,22.6507,2.6093,0,0,0,0,4.4201,2.6093,32.5329,0,4.9824,0,0,0,0,6.5366,42.9393,0,0,0,6.0953,0,0,0,0,29.9088,0,0,7.8279,9.9746,0,53.117,0
9,0,0,0,0,0,0,2.5495,1.777,1.777,18.9824,0,0,10.1078,5.6996,0,0,171.023,21.0934,7.729,48.0596,0,0,37.949,1.777,0,0,1.777,11.6729,0,0,0,24.3813,0,0,0,1.777,14.3,23.2889,10.495,0,3.0499,0,3.554,0,5.9461,0,5.6996,0,1.777,30.0828,4.8269,3.0499,0,1.777,40.035,3.0499,0,0,0,0,0,0,8.6665,63.2631,4.7918,0,55.3283,0,0,0,0,0,10.504,0,9.9905,0,0,0,2.5495,0,10.029,1.777,60.4292,0,0,0,0,0,0,0,0,10.647,0,0,19.2912,4.3517,0,9.1576,0
10,0,0,0,1.3548,0,0,6.6746,6.5132,0,5.4794,0,1.3548,5.4794,8.5234,0,3.1356,151.4799,14.0863,4.9352,61.6399,1.3548,0,34.6023,1.3548,0,0,4.0511,20.2901,24.7893,0,0,39.905,0,3.5733,0,7.6641,13.525,44.5278,0,0,10.55,1.3548,9.1593,0,3.3958,0,10.3218,0,3.1356,19.1422,7.4469,17.3541,0,0,6.4274,1.3548,0,0,0,0,0,0,9.7729,53.5089,5.8736,0,82.1973,0,15.7725,0,1.3548,0,17.8196,1.3548,79.7156,0,0,3.5733,0,0,10.8483,3.5733,96.9671,0,0,0,1.3548,2.5041,0,0,0,27.7236,0,0,16.0079,0,0,14.7688,0
11,0,0,0,0,0,0,7.1813,6.2684,0,0,0,0,19.3161,2.6859,0,2.6859,207.3035,12.7277,8.1751,58.8658,0,0,30.3929,0,0,0,1.8943,13.4886,10.6796,0,0,25.7731,3.1941,0,0,1.8943,8.4468,23.2643,6.3184,0,1.8943,0,10.8313,0,0,0,5.6413,0,4.1131,18.0361,2.6859,0,0,0,9.0142,0,0,0,0,0,0,0,10.67,50.9361,1.8943,0,45.6522,0,0,0,2.6859,0,15.159,1.8943,31.6727,1.8943,0,0,0,0,10.9902,2.6859,68.9222,0,0,0,0,0,0,0,0,14.0497,0,0,23.7583,0,0,12.8327,0
12,0,0,0,0,0,0,1.4211,0,0,8.6329,0,0,14.689,2.1229,0,1.4211,110.1234,9.072,5.5844,53.7854,0,0,7.8846,0,0,0,2.593,15.5616,11.834,0,1.4211,31.3001,0,0,0,0,16.8303,20.8959,5.1793,0,1.4211,0,0,0,0,0,7.6138,0,3.4682,21.0481,15.5369,1.4211,0,0,11.292,0,3.6719,0,0,0,0,0,8.0918,49.1226,4.7994,0,48.2701,0,0,0,0,0,8.6849,2.8422,52.1565,0,0,2.947,3.6719,0,9.4935,0,51.8303,0,0,0,0,0,0,0,0,13.6371,0,0,13.0601,9.2686,0,7.7427,0
