Source,Target,Weight
Finegoldia,Anaerococcus,10
Geobacillus,Anaerococcus,10
Sedimentibacter,Anaerococcus,10
Staphylococcus,Anaerococcus,10
Succinivibrio,Anaerococcus,10
Geobacillus,Finegoldia,10
Sedimentibacter,Finegoldia,10
Staphylococcus,Finegoldia,10
Succinivibrio,Finegoldia,10
Sedimentibacter,Geobacillus,10
Staphylococcus,Geobacillus,10
Succinivibrio,Geobacillus,10
Staphylococcus,Sedimentibacter,10
Succinivibrio,Sedimentibacter,10
Succinivibrio,Staphylococcus,10
Sphaerochaeta,g_5-7N15,9.91191919
Sphingomonas,g_5-7N15,9.85418671
Peptococcus,Epulopiscium,9.80893107
Sphingomonas,Sphaerochaeta,9.54205877
Peptoniphilus,Anaerococcus,9.50049605
Peptoniphilus,Finegoldia,9.50049605
Peptoniphilus,Geobacillus,9.50049605
Sedimentibacter,Peptoniphilus,9.50049605
Staphylococcus,Peptoniphilus,9.50049605
Succinivibrio,Peptoniphilus,9.50049605
WAL-1855D,g_1-68,9.47336462
Sphaerochaeta,CF231,9.32840666
Mucispirillum,CF231,9.23954102
Schwartzia,Scardovia,9.2241038
CF231,g_5-7N15,8.89751654
Lactococcus,Epulopiscium,8.66599489
Scardovia,Anaerococcus,8.64204992
Scardovia,Finegoldia,8.64204992
Scardovia,Geobacillus,8.64204992
Sedimentibacter,Scardovia,8.64204992
Staphylococcus,Scardovia,8.64204992
Succinivibrio,Scardovia,8.64204992
Mucispirillum,Burkholderia,8.53571682
Pseudoramibacter,Enterococcus,8.52894108
Streptococcus,Rothia,8.46620977
Vagococcus,rc4.4,8.43554124
Peptococcus,Lactococcus,8.37782665
Pseudomonas,Helicobacter,8.36128382
Sphaerochaeta,Mucispirillum,8.35262192
Mitsuokella,Leptotrichia,8.30877225
Atopobium,Actinomyces,8.18891567
ph2,g_1-68,8.15162315
Roseburia,Lachnospira,8.15053487
Corynebacterium,Anaerofustis,8.14001343
Scardovia,Peptoniphilus,8.1356002
Sphingomonas,CF231,8.11349372
Streptococcus,Actinomyces,8.10463561
Rothia,Actinomyces,8.09827619
Corynebacterium,Actinomyces,8.01956268
Anaerofustis,Actinomyces,8.00495412
Mogibacterium,Coprobacillus,7.96030438
Selenomonas,Mitsuokella,7.92855909
Rothia,Corynebacterium,7.86914568
Porphyromonas,ph2,7.85926266
CF231,Burkholderia,7.72109189
Schwartzia,Catenibacterium,7.69640902
Dehalobacterium,Adlercreutzia,7.63872661
Bulleidia,Actinomyces,7.56097829
Mucispirillum,g_5-7N15,7.55086434
Peptoniphilus,Abiotrophia,7.54709506
Succiniclasticum,Eikenella,7.54280229
Mucispirillum,Delftia,7.51943693
Vagococcus,Anaerovorax,7.4855382
Streptococcus,Bulleidia,7.48167278
Sphingomonas,Helicobacter,7.44989524
Dorea,Blautia,7.4228586
Neisseria,Anaerovorax,7.32939278
Anaerococcus,Abiotrophia,7.31960067
Finegoldia,Abiotrophia,7.31960067
Geobacillus,Abiotrophia,7.31960067
Sedimentibacter,Abiotrophia,7.31960067
Staphylococcus,Abiotrophia,7.31960067
Succinivibrio,Abiotrophia,7.31960067
Scardovia,Abiotrophia,7.29958532
Moryella,Lautropia,7.28833749
Rothia,Bulleidia,7.20002102
Scardovia,Corynebacterium,7.06323579
Atopobium,Anaerofustis,7.05911134
Rothia,Anaerococcus,7.04600537
Rothia,Finegoldia,7.04600537
Rothia,Geobacillus,7.04600537
Sedimentibacter,Rothia,7.04600537
Staphylococcus,Rothia,7.04600537
Succinivibrio,Rothia,7.04600537
Moryella,Mitsuokella,7.02777775
Bulleidia,Atopobium,7.01957828
Porphyromonas,g_1-68,7.00096717
Sphaerochaeta,Burkholderia,6.99315235
Corynebacterium,Anaerococcus,6.95473962
Finegoldia,Corynebacterium,6.95473962
Geobacillus,Corynebacterium,6.95473962
Sedimentibacter,Corynebacterium,6.95473962
Staphylococcus,Corynebacterium,6.95473962
Succinivibrio,Corynebacterium,6.95473962
Streptococcus,Atopobium,6.93587325
Dorea,Bilophila,6.90960696
Parvimonas,Corynebacterium,6.88535999
Roseburia,Parvimonas,6.86178631
Peptostreptococcus,Actinomyces,6.84831789
Paraprevotella,Christensenella,6.81940595
Lachnospira,Coprococcus,6.8086101
ph2,Mogibacterium,6.78888771
Corynebacterium,Atopobium,6.77955272
Veillonella,Oscillospira,6.75906563
Prevotella,Actinobacillus,6.75496021
Veillonella,Selenomonas,6.74900286
Desulfovibrio,Christensenella,6.73718766
Streptococcus,Corynebacterium,6.73076317
Lachnospira,Anaerostipes,6.71917901
Peptostreptococcus,Anaerococcus,6.69474969
Peptostreptococcus,Finegoldia,6.69474969
Peptostreptococcus,Geobacillus,6.69474969
Sedimentibacter,Peptostreptococcus,6.69474969
Staphylococcus,Peptostreptococcus,6.69474969
Succinivibrio,Peptostreptococcus,6.69474969
Megasphaera,Leptotrichia,6.64606883
Delftia,CF231,6.64487831
Pseudoramibacter,Anaerococcus,6.5567041
Pseudoramibacter,Finegoldia,6.5567041
Pseudoramibacter,Geobacillus,6.5567041
Sedimentibacter,Pseudoramibacter,6.5567041
Staphylococcus,Pseudoramibacter,6.5567041
Succinivibrio,Pseudoramibacter,6.5567041
Rothia,Enterococcus,6.53028312
Megasphaera,Acidaminococcus,6.51096187
Vagococcus,Neisseria,6.51025124
Dorea,Coprococcus,6.50158775
Lactobacillus,Bilophila,6.48440668
Bulleidia,Anaerofustis,6.47757783
Lautropia,Comamonas,6.45997868
WAL,ph2,6.45446239
Mitsuokella,Megasphaera,6.40831348
Slackia,ph2,6.40194711
Roseburia,Anaerostipes,6.38969494
Paraprevotella,Adlercreutzia,6.37879058
Roseburia,Coprococcus,6.37565923
Streptococcus,Peptostreptococcus,6.36738993
Peptoniphilus,Corynebacterium,6.36289602
Slackia,Eikenella,6.35043433
Sphingomonas,Mucispirillum,6.3252352
Lactobacillus,g_5-7N15,6.30692039
Rothia,Anaerofustis,6.30577727
Rothia,Peptoniphilus,6.30285724
Rothia,Abiotrophia,6.28960201
Burkholderia,g_5-7N15,6.28255415
Rothia,Peptostreptococcus,6.27824104
Sphingomonas,Lactobacillus,6.271557
Eggerthella,Corynebacterium,6.24227532
Ruminococcus,Dorea,6.22982258
Bulleidia,Abiotrophia,6.20767095
Sphaerochaeta,Lactobacillus,6.20731424
Helicobacter,g_5-7N15,6.20625497
Ruminococcus,Dehalobacterium,6.19610707
Selenomonas,Leptotrichia,6.18955186
Blautia,Bilophila,6.18835437
Delftia,Burkholderia,6.18198651
Ruminococcus,Anaerotruncus,6.18073878
Scardovia,Desulfovibrio,6.17378964
Veillonella,Rothia,6.171916
Veillonella,Streptococcus,6.16537322
Moryella,Leptotrichia,6.16010011
Blautia,Atopobium,6.14735709
Peptoniphilus,Desulfovibrio,6.14565064
rc4.4,Anaerovorax,6.14488517
Peptostreptococcus,Atopobium,6.11997933
Lactobacillus,Desulfovibrio,6.10660422
Peptostreptococcus,Peptoniphilus,6.10538255
Coprococcus,Blautia,6.09209585
Veillonella,Fusobacterium,6.09122837
Streptococcus,Abiotrophia,6.04350397
Sphaerochaeta,Delftia,6.0312068
Schwartzia,Anaerococcus,6.028334
Schwartzia,Finegoldia,6.028334
Schwartzia,Geobacillus,6.028334
Sedimentibacter,Schwartzia,6.028334
Staphylococcus,Schwartzia,6.028334
Succinivibrio,Schwartzia,6.028334
Porphyromonas,Mogibacterium,6.01356591
Veillonella,Actinomyces,6.00235294
