Firmicutes_1.68,Bacteroidetes_5.7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Firmicutes_Catenibacterium,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Proteobacteria_Enhydrobacter,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Firmicutes_Holdemania,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Fusobacteria_Leptotrichia,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Moryella,Deferribacteres_Mucispirillum,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4.4,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Firmicutes_Schwartzia,Firmicutes_Selenomonas,Actinobacteria_Slackia,Proteobacteria_Sphingomonas,Firmicutes_Streptococcus,Proteobacteria_Succinivibrio,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella
Firmicutes_1.68,1,-0.05,-0.05,-0.184150707991005,0.48515619381731,0.0390803368367358,0.422577127364258,-0.153979470772421,0.147709789175199,-0.0724568837309472,-0.05,0.0738548945875996,0.300941917545312,0.296491107361057,0.369274472937998,0.223017582502508,0.185239643408737,0.258492131056599,0.184877493221863,-0.153979470772421,-0.0909667863407457,0.23931721056524,0.110782341881399,0.379777262656375,0.444736661041586,-0.0909667863407457,0.221564683762799,-0.05,0.327379036428454,-0.0724568837309472,0.258576097968366,0.0371695970837514,0.295419578350399,0.327379036428454,-0.05,-0.05,-0.0724568837309472,-0.05,0.0398862017608733,0.0740958573634948,-0.221564683762799,-0.138873014965883,0.184637236468999,0.390803368367358,0.606445242271638,-0.0909667863407457,0.369274472937998,0.112853219079492,0.606445242271638,-0.138873014965883,-0.05,-0.0724568837309472,-0.123537961400441,0.221564683762799,0.221564683762799,0.195401684183679,0.332347025644198,-0.138873014965883,-0.05,-0.05,0.296491107361057,0.0369274472937998,0.175976538025624,0.110782341881399,-0.05,-0.107713555065049,-0.0724568837309472,0.211288563682129,-0.05,0.258492131056599,0.0818447591071135,0.295419578350399,-0.0909667863407457,-0.214941852602047,-0.0909667863407457,-0.05,-0.147709789175199,-0.138873014965883,-0.0738548945875996,-0.05,0.075955452531275,-0.332347025644198
Bacteroidetes_5.7N15,-0.05,1,-0.05,-0.184150707991005,-0.0909667863407457,-0.214941852602047,-0.169030850945703,-0.153979470772421,0.258492131056599,-0.0724568837309472,1,0.184637236468999,-0.112853219079492,-0.123537961400441,0.147709789175199,-0.297356776670011,0.111143786045242,0.221564683762799,-0.14790199457749,-0.153979470772421,-0.0909667863407457,0.319089614086986,0.258492131056599,-0.246855220726644,0.39532147648141,-0.0909667863407457,0.332347025644198,-0.05,0.368301415982011,-0.0724568837309472,-0.147757770267638,-0.0371695970837514,0.332347025644198,-0.184150707991005,-0.05,-0.05,-0.0724568837309472,-0.05,0.0797724035217466,-0.111143786045242,0.221564683762799,0.277746029931765,0.258492131056599,-0.214941852602047,-0.0909667863407457,-0.0909667863407457,0.221564683762799,0.0752354793863279,-0.0909667863407457,0.277746029931765,-0.05,-0.0724568837309472,-0.123537961400441,0.332347025644198,0.147709789175199,0.0390803368367358,0.147709789175199,-0.138873014965883,-0.05,-0.05,0.444736661041586,0.332347025644198,-0.153979470772421,-0.369274472937998,-0.05,-0.107713555065049,-0.0724568837309472,-0.169030850945703,-0.05,-0.110782341881399,0.12276713866067,0.258492131056599,-0.0909667863407457,0,-0.0909667863407457,-0.05,-0.0738548945875996,-0.138873014965883,0.258492131056599,-0.05,-0.0379777262656375,0.147709789175199
Firmicutes_Abiotrophia,-0.05,-0.05,1,0.163689518214227,-0.0909667863407457,-0.214941852602047,-0.169030850945703,-0.153979470772421,0.0738548945875996,-0.0724568837309472,-0.05,0.0369274472937998,0.225706438158984,-0.123537961400441,-0.147709789175199,0.0371695970837514,0.259335500772232,-0.0369274472937998,-0.332779487799353,0.395947210557654,-0.0909667863407457,-0.199431008804366,-0.147709789175199,0,-0.123537961400441,0.606445242271638,-0.295419578350399,-0.05,-0.184150707991005,-0.0724568837309472,0.0738788851338188,-0.297356776670011,0.184637236468999,0.12276713866067,-0.05,-0.05,-0.0724568837309472,-0.05,-0.199431008804366,0.370479286817474,-0.0369274472937998,-0.138873014965883,-0.0738548945875996,-0.214941852602047,-0.0909667863407457,-0.0909667863407457,-0.110782341881399,-0.263324177852148,-0.0909667863407457,-0.138873014965883,-0.05,-0.0724568837309472,-0.123537961400441,-0.295419578350399,-0.295419578350399,-0.214941852602047,-0.221564683762799,-0.138873014965883,-0.05,-0.05,-0.123537961400441,-0.332347025644198,-0.153979470772421,0.147709789175199,-0.05,0.484710997792721,-0.0724568837309472,0.380319414627832,-0.05,0.0369274472937998,-0.184150707991005,-0.295419578350399,0.606445242271638,0.390803368367358,-0.0909667863407457,-0.05,-0.0369274472937998,-0.138873014965883,-0.295419578350399,-0.05,0.15191090506255,0.0738548945875996
Firmicutes_Acidaminococcus,-0.184150707991005,-0.184150707991005,0.163689518214227,1,-0.0496343647653773,0.185057272208876,-0.275862315946589,-0.342065487376261,-0.0777167492966145,0.344517321782192,-0.184150707991005,0.2497010370919,0.093830547606586,0.0139627193357469,-0.0942675384986713,0.519336197102369,0.0458436556421003,0.385705348360976,-0.239217918753684,0.0964470359143593,-0.0496343647653773,-0.0575169682229556,0.204366266668875,-0.0403336055337527,-0.244588324915843,0.556613947726016,0.166947091081616,-0.184150707991005,-0.181020733652313,-0.0550662932356782,0.0100776659281325,0.487466193375027,0.302231802820168,-0.0211323763955343,0.24553427732134,-0.184150707991005,0.468769470621671,0.409223795535567,0.333442964427675,-0.181208780569562,-0.465580896249163,0.0992272325555346,0.0748383511745177,0.11842142316247,-0.335031962166297,0.138858044284091,0.262653828641336,0.697131646670807,0.300760615066393,0.179511084350467,-0.184150707991005,0.152491273575724,-0.0544064581013587,-0.230991449298271,-0.072679552582945,-0.340413994557069,-0.258336231458191,0.561084896814023,0.286456656874897,0.327379036428454,-0.0832948429339385,0.251859835683473,0.487807674980182,0.0366995760567346,-0.184150707991005,-0.200454271865729,0.530895545041411,0.20422046076046,-0.184150707991005,0.214440660096214,0.349282296650718,0.15903149624585,-0.103995811889362,-0.317567417741158,-0.0496343647653773,-0.184150707991005,-0.0179899882631052,-0.511471280536256,0.082753946010284,0.204611897767784,-0.0965786334340317,-0.209403463382545
Proteobacteria_Actinobacillus,0.48515619381731,-0.0909667863407457,-0.0909667863407457,-0.0496343647653773,1,0.150664821882144,0.353896512528726,0.445302464882075,-0.316721856762228,-0.131823397225386,-0.0909667863407457,0.165292551508907,-0.0445398604637724,0.317513894994279,0.327385892343448,0.00751377510286493,0.0524242601984842,0.319921067436594,0.215693822722249,0.341123286222074,0.297723292469352,0.0633516119504406,0.12370281274215,0.403598066544823,0.341773383600584,-0.165499124343257,0.22607755432186,-0.0909667863407457,-0.0543614471239846,-0.131823397225386,-0.0464036233363707,0.012880757319197,0.39883493073762,-0.0543614471239846,0.606445242271638,-0.0909667863407457,0.397562626552753,-0.0909667863407457,0.112881054020785,0.0727520345611618,0.229276764996226,-0.252656637617933,0.456420722876207,0.557516269736174,0.217162872154116,0.257443082311734,0.428694230365036,0.0271584515023002,0.217162872154116,0.0548091118642076,-0.0909667863407457,-0.131823397225386,0.338919326117489,-0.0767810561847825,0.0927771095566122,-0.0231357966186064,0.374307648900815,-0.252656637617933,-0.0909667863407457,-0.0909667863407457,0.00570811496618929,0.169558165741395,0.266165096698416,0.344448349273399,-0.0909667863407457,0.0979835594960447,-0.131823397225386,-0.0988469569476785,-0.0909667863407457,0.450022301527475,0.205037197304594,0.143964480346467,-0.165499124343257,-0.17041489216632,0.297723292469352,-0.0909667863407457,0.231409572112469,-0.252656637617933,-0.0917107059984902,-0.0909667863407457,-0.271990001367164,-0.051187370789855
Actinobacteria_Actinomyces,0.0390803368367358,-0.214941852602047,-0.214941852602047,0.185057272208876,0.150664821882144,1,0.245357639085303,0.115029731498484,0.280380918159572,0.275073543885003,-0.214941852602047,0.228153100071024,0.349327073897381,0.128744137164077,0.261139090442739,0.210281197015287,0.0265438347530777,0.58206528843421,-0.15413492711769,0.101111543345642,0.193550688784927,0.196701449041679,0.206849647955959,-0.165026940554841,-0.0487388519264005,-0.101571790032906,0.151185789203691,-0.214941852602047,-0.162972247953496,-0.311480336458018,-0.00481201952692025,0.0913063092303218,0.241897262725905,0.173253207520656,0.390803368367358,0.195401684183679,0.512391895472064,0.312642694693886,0.122474487139159,-0.231655285117769,0.0116825382566488,0,-0.0474173611593394,0.166909090909091,-0.0919788987520206,0.180007783447206,-0.0590998994159882,0.105708192702414,0.0671502389661991,-0.0206750636281895,0.195401684183679,0.0795555837706626,0.151734161657662,-0.122323047628441,0.0542894424867799,0.096,-0.00481045692920835,0.143002523428311,0.27356235785715,-0.214941852602047,-0.0570152607440911,0.0474173611593394,0.352048288571873,0.0934603060531907,-0.214941852602047,-0.252568920829465,0.0525875892721329,-0.0912227119676127,-0.214941852602047,0.00068720813274405,-0.0384584043067829,0.138128834681554,-0.391051391626689,0.00981818181818182,0.260136640028721,0.195401684183679,0.306494827203846,-0.0103375318140948,0.0542894424867799,0.156321347346943,0.180222140648756,0.0247394927787858
Actinobacteria_Adlercreutzia,0.422577127364258,-0.169030850945703,-0.169030850945703,-0.275862315946589,0.353896512528726,0.245357639085303,1,0.0690519699279199,0.209548756034435,0.172047493838342,-0.169030850945703,0.233327338279477,0.168047618847579,0.191913012416452,0.708898983180322,0.089754408919649,0.395117707470392,0.145643816250884,0.382440476190476,-0.0610844349362369,0.214778573120882,0.611595589520227,-0.294259955282398,0.615957423149635,0.176003125376746,-0.307523866059444,0.355192572285319,0.126773138209277,0.156459223969707,-0.244948974278318,0.211103468642223,0.0314140431218772,0.164963914324981,-0.0667010375870858,0.338061701891407,-0.169030850945703,0.139970842444753,-0.169030850945703,0.0417361819620102,-0.427174427133084,-0.167936237105611,-0.108054109984012,-0.0178339366837817,0.0786402689375972,0.529624435991265,0,0.0460710030997694,0.0136254826092631,0.0854232961276234,0.0204930208590368,-0.169030850945703,-0.244948974278318,-0.00596620763988969,0.347761765333743,0.4711131607299,0.603957265440746,0.453279224046118,-0.275724280648859,-0.169030850945703,-0.169030850945703,0.064633916098805,-0.197659464911914,-0.0690519699279199,0.0653911011738662,-0.169030850945703,-0.364138277420643,-0.244948974278318,-0.261904761904762,0.126773138209277,0.0757942309060722,0.115285743977679,0.41909751206887,-0.14521960341696,-0.144698094845179,0.0292879872437566,-0.169030850945703,-0.0787665536867025,-0.00931500948138038,0.199145626302229,-0.169030850945703,-0.0504382009030719,-0.15901926876372
Proteobacteria_Aggregatibacter,-0.153979470772421,-0.153979470772421,-0.153979470772421,-0.342065487376261,0.445302464882075,0.115029731498484,0.0690519699279199,1,-0.490471784172631,-0.223137452214202,-0.153979470772421,-0.22357467764336,-0.202535568700582,-0.13457960757424,0.0572474953135247,-0.18143424338133,-0.23361778992389,-0.0974754649932988,0.140981105269503,0.232258064516129,0.0851220118319515,-0.0793819513788872,0.125325597848527,0.08314205102233,0.1288858549461,-0.280140352372318,-0.246009506887849,-0.153979470772421,-0.396075827488302,0.160901836290513,-0.143939094146538,-0.237499760649381,-0.176384174749779,-0.00857306985905416,0.395947210557654,0.263964807038436,0.194296557030053,-0.153979470772421,-0.192187882285727,0.230125165157586,0.733386831854343,-0.0426702089504196,-0.179478633955915,0.399533871681567,0,0.0533600671185368,-0.00154722960306824,-0.343601198262465,-0.280140352372318,0.0795217530439639,0.263964807038436,0.0349126625913377,0.105075616682965,-0.230537210857167,-0.354315579102626,-0.0912869399436368,0.292426394979896,-0.206562602419077,-0.153979470772421,-0.153979470772421,-0.13457960757424,0.00773614801534118,-0.186175115207373,0.0967018501917647,-0.153979470772421,0.468235076505572,-0.223137452214202,-0.0947251382344543,-0.153979470772421,-0.0232084440460235,-0.256334788785719,-0.444054896080583,-0.280140352372318,0.417136286110161,0.338582330645001,0.263964807038436,0.404600541202343,0.309359014890542,-0.260708188116998,-0.153979470772421,-0.413721210828819,0.48660371016496
Verrucomicrobia_Akkermansia,0.147709789175199,0.258492131056599,0.0738548945875996,-0.0777167492966145,-0.316721856762228,0.280380918159572,0.209548756034435,-0.490471784172631,1,0.344011854220397,0.258492131056599,0.207792207792208,0.488178952226391,-0.0434470624609357,0.327272727272727,0.00261443492808001,0.314008180505965,0.25974025974026,-0.031209389196618,-0.350447505094955,-0.217546325856884,0.356300462639739,0.0402597402597403,-0.231733289666382,0.0590880049468725,0.0991755309053441,0.284415584415584,0.332347025644198,0.444712509863961,-0.206407112532238,0.0857421285884046,-0.11242070190744,0.284415584415584,0.125210318311212,-0.295419578350399,0.0369274472937998,-0.020385887657505,0.295419578350399,0.0701378863464054,-0.0254073009123084,-0.335064935064935,0.0602363047000943,-0.111688311688312,-0.160806703062108,0.213280711624396,-0.424428616132548,-0.0571428571428571,0.0555650839932477,0.170624569299517,-0.263737334092305,0.0369274472937998,-0.19111769678911,-0.357134853428891,0.307792207792208,0.554545454545455,0.302371578407382,0.0532467532467532,0.0634923211703697,0.110782341881399,-0.147709789175199,0.230269431042959,-0.0532467532467532,-0.178705019154381,-0.120779220779221,-0.369274472937998,-0.115539421084303,0.0917364944587726,0.245216629401998,0.332347025644198,-0.25974025974026,-0.15903149624585,0.474025974025974,0.00746482490685385,-0.25289259284981,-0.376440456017059,0.0369274472937998,-0.287012987012987,-0.247457251740928,0.363636363636364,0,0.444767639532595,-0.34025974025974
Firmicutes_Anaerococcus,-0.0724568837309472,-0.0724568837309472,-0.0724568837309472,0.344517321782192,-0.131823397225386,0.275073543885003,0.172047493838342,-0.223137452214202,0.344011854220397,1,-0.0724568837309472,-0.0637058989297032,0.288141643066397,-0.179023514110999,0.275209483376318,0.197500832776392,0.0715833989590879,0.31343302273414,0.204124145231931,0.0273229533323512,-0.131823397225386,0.459652371940255,-0.0254823595718813,0.0602763781115103,-0.179023514110999,0.265739229327366,0.175828281045981,-0.0724568837309472,-0.0833054179719235,-0.105,0.00509812741934582,0.297533722104695,0.254823595718813,-0.00282391247362453,-0.0724568837309472,-0.0724568837309472,0.395,0.652111953578525,0.123858423576716,-0.166175747583597,-0.453586000379487,0.0798595706249925,-0.170731809131605,0.0593295878967653,-0.131823397225386,-0.131823397225386,0.402621281235724,0.467256718486048,0.265739229327366,0.0543045080249949,-0.0724568837309472,-0.105,-0.179023514110999,-0.0382235393578219,0.456134236336675,0.404519917477945,0.101929438287525,0.431241681374959,-0.0724568837309472,-0.0724568837309472,0.177318528262323,-0.117218854030654,0.125989173699175,0.0637058989297032,-0.0724568837309472,-0.156091770711905,0.395,-0.0408248290463863,-0.0724568837309472,-0.32617420252008,0.0282391247362452,0.341463618263209,-0.131823397225386,-0.311480336458018,-0.131823397225386,-0.0724568837309472,0.0509647191437625,-0.201246117974981,0.32617420252008,-0.0724568837309472,0.0746902946164367,-0.208955348489426
