Row,Col,Corr
1,Bacteroidetes_5.7N15,Firmicutes_1.68,-0.05
2,Firmicutes_Abiotrophia,Firmicutes_1.68,-0.05
3,Firmicutes_Acidaminococcus,Firmicutes_1.68,-0.170827208
4,Proteobacteria_Actinobacillus,Firmicutes_1.68,0.162376784
5,Actinobacteria_Actinomyces,Firmicutes_1.68,0.039941194
6,Actinobacteria_Adlercreutzia,Firmicutes_1.68,0.654852882
7,Proteobacteria_Aggregatibacter,Firmicutes_1.68,-0.139932795
8,Verrucomicrobia_Akkermansia,Firmicutes_1.68,0.190548749
9,Firmicutes_Anaerococcus,Firmicutes_1.68,-0.072537979
10,Firmicutes_Anaerofustis,Firmicutes_1.68,-0.05
11,Firmicutes_Anaerostipes,Firmicutes_1.68,0.108838303
12,Firmicutes_Anaerotruncus,Firmicutes_1.68,0.272573297
13,Actinobacteria_Atopobium,Firmicutes_1.68,0.222982951
14,Bacteroidetes_Bacteroides,Firmicutes_1.68,0.407824466
15,Actinobacteria_Bifidobacterium,Firmicutes_1.68,0.151245613
16,Proteobacteria_Bilophila,Firmicutes_1.68,0.173317904
17,Firmicutes_Blautia,Firmicutes_1.68,0.294645461
18,Bacteroidetes_Butyricimonas,Firmicutes_1.68,0.139143198
19,Proteobacteria_Campylobacter,Firmicutes_1.68,-0.124871439
20,Firmicutes_Catenibacterium,Firmicutes_1.68,-0.088070536
21,Firmicutes_Christensenella,Firmicutes_1.68,0.230044099
22,Firmicutes_Clostridium,Firmicutes_1.68,0.079700156
23,Actinobacteria_Collinsella,Firmicutes_1.68,0.342686256
24,Proteobacteria_Comamonas,Firmicutes_1.68,0.476741949
25,Firmicutes_Coprobacillus,Firmicutes_1.68,-0.079575992
26,Firmicutes_Coprococcus,Firmicutes_1.68,0.252754485
27,Actinobacteria_Corynebacterium,Firmicutes_1.68,-0.05
28,Firmicutes_Dehalobacterium,Firmicutes_1.68,0.263990892
29,Proteobacteria_Delftia,Firmicutes_1.68,-0.072525056
30,Proteobacteria_Desulfovibrio,Firmicutes_1.68,0.221469637
31,Firmicutes_Dialister,Firmicutes_1.68,0.058559752
32,Firmicutes_Dorea,Firmicutes_1.68,0.294037187
33,Actinobacteria_Eggerthella,Firmicutes_1.68,0.291114252
34,Proteobacteria_Eikenella,Firmicutes_1.68,-0.05
35,Proteobacteria_Enhydrobacter,Firmicutes_1.68,-0.05
36,Firmicutes_Enterococcus,Firmicutes_1.68,-0.056002765
37,Firmicutes_Epulopiscium,Firmicutes_1.68,-0.05
38,Firmicutes_Eubacterium,Firmicutes_1.68,-0.053171607
39,Fusobacteria_Fusobacterium,Firmicutes_1.68,-0.026105572
40,Proteobacteria_Haemophilus,Firmicutes_1.68,-0.143322569
41,Firmicutes_Holdemania,Firmicutes_1.68,-0.131547592
42,Firmicutes_Lachnospira,Firmicutes_1.68,0.163341714
43,Firmicutes_Lactobacillus,Firmicutes_1.68,0.528246938
44,Firmicutes_Lactococcus,Firmicutes_1.68,0.745276697
45,Fusobacteria_Leptotrichia,Firmicutes_1.68,-0.088600673
46,Firmicutes_Megamonas,Firmicutes_1.68,0.618834646
47,Firmicutes_Megasphaera,Firmicutes_1.68,-0.049783924
48,Euryarchaeota_Methanobrevibacter,Firmicutes_1.68,0.6425444
49,Firmicutes_Mitsuokella,Firmicutes_1.68,-0.116692868
50,Firmicutes_Moryella,Firmicutes_1.68,-0.05
51,Deferribacteres_Mucispirillum,Firmicutes_1.68,-0.072501012
52,Proteobacteria_Neisseria,Firmicutes_1.68,-0.119993203
53,Bacteroidetes_Odoribacter,Firmicutes_1.68,0.152912766
54,Firmicutes_Oscillospira,Firmicutes_1.68,0.182006241
55,Proteobacteria_Oxalobacter,Firmicutes_1.68,0.134024497
56,Bacteroidetes_Paraprevotella,Firmicutes_1.68,0.392756463
