Source,Target,Weight
Anaerofustis,5.7N15,10
rc4-4,Corynebacterium,10
Moryella,Enhydrobacter,10
Sphingomonas,Enhydrobacter,10
Sphingomonas,Moryella,10
Enterococcus,Eikenella,9.9262708
Succinivibrio,Proteus,9.27945707
Dorea,Blautia,8.7308245
Coprobacillus,Abiotrophia,8.39237172
Rothia,Eikenella,8.37035512
Pseudomonas,Fusobacterium,8.35696977
Porphyromonas,Leptotrichia,8.32812185
Rothia,Enterococcus,8.19314977
Ruminococcus,Methanobrevibacter,8.11816428
Ruminococcus,Coprococcus,8.06200131
Eikenella,Actinobacillus,7.97352242
Enterococcus,Actinobacillus,7.86358568
Leptotrichia,Catenibacterium,7.84025823
Schwartzia,Abiotrophia,7.7793189
Veillonella,Streptococcus,7.77455417
Peptostreptococcus,Enhydrobacter,7.68981104
Peptostreptococcus,Moryella,7.68981104
Sphingomonas,Peptostreptococcus,7.68981104
Slackia,Catenibacterium,7.63898644
Roseburia,Lachnospira,7.5955364
Coprococcus,Blautia,7.50932117
Slackia,Campylobacter,7.4717339
Lactococcus,g_1-68,7.45276697
Veillonella,Slackia,7.43877671
Dehalobacterium,Corynebacterium,7.4229372
rc4-4,Dehalobacterium,7.4229372
Rothia,Catenibacterium,7.40139856
Ruminococcus,Oscillospira,7.38793501
Dorea,Coprococcus,7.35133305
Pseudoramibacter,Peptoniphilus,7.29017951
Proteus,Leptotrichia,7.17279734
Haemophilus,Aggregatibacter,7.15550719
Pseudoramibacter,Methanobrevibacter,7.12818425
Eikenella,Catenibacterium,7.07974427
Slackia,Leptotrichia,7.03711692
Enterococcus,Catenibacterium,6.96362326
Ruminococcus,Pseudoramibacter,6.90217163
Aggregatibacter,Actinobacillus,6.8919117
Neisseria,Leptotrichia,6.84891482
Slackia,Eikenella,6.8418447
Megamonas,Lactobacillus,6.84053933
Slackia,Rothia,6.82620873
Eikenella,Campylobacter,6.80178151
Peptococcus,Atopobium,6.78160902
Epulopiscium,Anaerococcus,6.77295668
Christensenella,Bacteroides,6.73463704
Streptococcus,Slackia,6.72510991
Slackia,Enterococcus,6.7238025
Proteus,Porphyromonas,6.70827835
Ruminococcus,Dorea,6.69753387
Leptotrichia,Campylobacter,6.6691609
Enterococcus,Campylobacter,6.64136156
Catenibacterium,Campylobacter,6.63742352
Oscillospira,Coprococcus,6.59583113
Fusobacterium,Coprococcus,6.5836042
Megasphaera,Anaerococcus,6.54990712
Adlercreutzia,g_1-68,6.54852882
Lactococcus,Adlercreutzia,6.53743669
Porphyromonas,Catenibacterium,6.51588689
Lactococcus,Comamonas,6.48318349
Selenomonas,Pseudomonas,6.4736808
Pseudoramibacter,Epulopiscium,6.47187526
Dorea,Anaerostipes,6.46911749
Methanobrevibacter,g_1-68,6.425444
Odoribacter,Comamonas,6.33311848
Rothia,Actinobacillus,6.3186319
Porphyromonas,Atopobium,6.31292349
Coprococcus,Anaerostipes,6.31182106
Megasphaera,Acidaminococcus,6.27107316
Ruminococcus,Blautia,6.26659814
Streptococcus,Catenibacterium,6.26338623
Veillonella,Leptotrichia,6.22770383
Succinivibrio,Prevotella,6.20928477
Methanobrevibacter,Dorea,6.20764725
Prevotella,Eubacterium,6.20762274
Schwartzia,Coprobacillus,6.19285995
Megamonas,g_1-68,6.18834646
Selenomonas,Oscillospira,6.175865
Rothia,Leptotrichia,6.16699269
Succinivibrio,Leptotrichia,6.1667323
Rothia,Porphyromonas,6.15702363
Christensenella,Adlercreutzia,6.15186862
Streptococcus,Leptotrichia,6.14700142
Eubacterium,Desulfovibrio,6.1367453
Methanobrevibacter,Lactobacillus,6.13234999
Proteus,Prevotella,6.1285557
Veillonella,Campylobacter,6.09556516
Prevotella,Desulfovibrio,6.0953392
Rothia,Dialister,6.06741304
Ruminococcus,Anaerostipes,6.03152599
TG5,Neisseria,6.03133877
Succinivibrio,Bacteroides,6.0143997
