Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Acinetobacter,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Firmicutes_Anaerovorax,Actinobacteria_Atopobium,Proteobacteria_Azospira,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Proteobacteria_Brevundimonas,Firmicutes_Bulleidia,Proteobacteria_Burkholderia,Bacteroidetes_Butyricimonas,Firmicutes_Butyrivibrio,Proteobacteria_Campylobacter,Bacteroidetes_Capnocytophaga,Firmicutes_Catenibacterium,Firmicutes_cc_115,Bacteroidetes_CF231,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Actinobacteria_Dermatophilus,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Bacteroidetes_Dysgonomonas,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Proteobacteria_Enhydrobacter,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Firmicutes_Filifactor,Firmicutes_Finegoldia,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Proteobacteria_Helicobacter,Firmicutes_Holdemania,Proteobacteria_Kingella,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Proteobacteria_Lautropia,Fusobacteria_Leptotrichia,Firmicutes_Macrococcus,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Mogibacterium,Firmicutes_Moryella,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Actinobacteria_Propionicimonas,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Actinobacteria_Scardovia,Firmicutes_Schwartzia,Firmicutes_Sedimentibacter,Firmicutes_Selenomonas,Chloroflexi_SHD-231,Actinobacteria_Slackia,Spirochaetes_Sphaerochaeta,Firmicutes_Staphylococcus,Firmicutes_Streptococcus,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella,Firmicutes_WAL_1855D
1,0,0,7.4974,0,0,0,11.7286,0,3.1396,16.128,0,0,3.1396,5.5812,0,7.2234,0,117.4736,8.0158,10.514,25.6799,0,3.1396,0,0,0,0,0,0,0,0,4.0553,3.1396,0,0,0,17.7076,0,0,0,0,6.7863,22.9582,12.39,0,7.8301,0,0,4.0553,0,7.4974,0,0,14.5615,0,0,0,0,3.1396,3.1396,0,0,0,0,0,16.199,0,0,3.1396,0,0,3.1396,20.9274,0,25.1636,0,0,6.9773,14.47,0,28.0262,0,0,0,6.1561,0,5.5812,4.611,50.9957,3.1396,6.2792,0,20.0587,0,0,0,0,29.25,8.1408,0,0,39.3438,0
2,0,0,0,3.0188,0,0,2.1866,6.5986,0,5.0432,0,0,11.6576,2.1866,0,1.4731,0,125.819,26.5466,4.693,57.1719,0,1.4731,0,6.5888,0,1.4731,0,0,0,0,3.0188,14.8445,11.18,0,0,26.9036,0,0,0,0,6.7251,18.7844,31.1146,0,4.8787,0,0,2.1866,0,0,0,0,1.4731,2.6619,0,0,0,24.9889,29.6731,0,0,0,0,4.3732,1.4731,0,0,3.0188,0,0,8.5808,46.2537,0,38.1976,2.1866,0,2.6619,16.9599,0,34.5787,0,0,0,1.4731,0,8.5469,2.9462,63.6014,0,2.6619,0,0,0,2.1866,0,1.4731,38.8112,23.0602,0,5.7625,29.6213,0
3,0,0,0,2.579,0,2.579,7.2725,0,13.8765,15.757,0,0,0,0,0,5.3505,0,110.1319,12.0683,9.018,13.971,0,2.579,0,0,0,3.4529,0,3.4529,0,0,0,2.579,10.136,0,4.9472,8.6109,0,0,0,0,7.8755,19.4556,39.7931,0,8.9176,5.9237,0,2.579,0,7.9295,0,0,14.5713,27.906,0,2.579,0,9.1513,8.0955,0,0,9.8573,0,8.6868,6.6511,0,0,0,0,0,3.9933,54.904,0,57.7135,5.5165,0,9.0317,14.047,13.8762,28.0265,0,8.6403,0,3.9933,9.3057,3.9933,2.579,40.0378,0,0,0,2.579,0,0,0,0,22.4079,19.8369,0,0,26.5693,0
4,0,0,0,3.0811,0,0,12.9981,0,0,7.4316,0,0,4.9472,0,0,0,0,119.005,8.541,0,42.3443,0,0,0,0,0,0,0,0,0,0,0,3.0811,7.7643,0,0,20.1119,3.9933,0,0,0,0,4.9472,36.5385,0,0,0,0,3.9933,0,4.5477,0,0,12.072,11.134,9.9886,0,0,24.2828,22.1995,0,0,0,0,49.1621,0,0,0,0,0,0,8.2264,20.6308,0,36.0472,0,0,0,15.7241,0,11.9156,0,3.9933,0,0,0,3.0811,3.0811,46.6793,0,0,0,3.0811,0,0,0,0,11.628,21.9629,0,8.0345,37.9596,0
5,0,0,4.4824,0,0,5.5626,6.7033,0,4.2322,5.1933,0,0,4.4824,0,2.1886,5.4497,0,149.4684,3.021,0,55.6929,0,0,0,15.5005,0,2.1886,0,0,0,0,0,5.2096,0,0,0,11.6846,0,0,0,0,0,0,49.5655,0,0,3.021,2.1886,0,0,5.0456,0,0,6.5665,10.484,0,0,0,11.4015,2.1886,0,0,0,0,9.1779,3.5455,0,0,0,2.1886,4.2322,10.829,30.5805,0,66.9645,3.5455,0,4.4824,5.5626,0,28.4034,0,0,0,0,0,0,5.1933,21.6402,0,0,0,11.8806,0,0,0,0,30.4092,0,0,0,28.9421,0
6,0,0,2.1967,9.3907,0,0,9.9982,2.1967,6.3826,9.1296,0,0,0,0,2.1967,6.8088,0,149.3338,7.8742,3.0301,31.9058,0,3.0301,0,0,0,11.6406,0,0,0,0,0,0,12.9685,0,0,18.9228,7.4235,0,0,0,12.6184,27.5241,33.9832,0,5.3372,0,0,0,0,11.3086,0,0,28.8218,7.7066,0,0,0,16.1619,14.8874,0,3.0301,9.4687,0,15.5747,26.6659,0,0,0,0,4.3934,11.943,41.454,7.1001,38.3272,6.3193,0,6.5575,5.7751,3.0301,15.2078,0,0,0,2.1967,16.0454,3.5549,4.2419,39.9623,0,13.1603,0,20.3046,0,2.1967,2.1967,0,41.6097,22.5738,6.585,0,51.22,0
7,0,0,0,2.4088,2.4088,0,11.6341,3.2661,7.1563,8.2002,0,0,5.6749,0,0,7.5081,0,140.7168,7.7613,4.1891,16.6773,0,4.4952,0,10.4224,0,17.7004,0,0,0,2.4088,0,11.8839,10.132,0,0,10.015,0,0,0,0,8.5477,24.522,14.09,0,3.2661,8.1353,0,4.7475,0,6.5979,0,0,19.5284,24.896,0,0,0,17.1876,31.2511,3.2661,2.4088,42.5552,0,14.3775,0,0,0,0,9.4318,11.3454,4.7475,34.1099,2.4088,27.4809,0,0,7.2051,16.5728,0,126.9818,0,0,2.4088,0,2.4088,4.4952,7.3263,40.0396,2.4088,6.5979,0,31.0254,0,0,0,2.4088,32.4281,19.2833,6.5979,2.4088,48.1506,0
8,3.4826,0,8.247,12.6611,1.8256,5.0908,24.137,2.6062,7.1339,5.1947,3.7785,0,1.8256,0,0,9.8725,0,94.0934,6.4089,2.6062,17.9674,0,12.1681,0,0,3.4826,16.7414,3.6512,1.8256,0,0,0,15.5756,4.7249,0,0,7.4637,3.7785,0,0,0,4.2336,23.1863,18.2644,1.8256,0,0,0,1.8256,0,0,0,4.2336,21.7163,20.9096,0,0,0,14.9143,23.9412,0,3.7785,36.4708,0,6.2574,24.0902,0,5.0908,3.6512,6.2731,7.5065,2.6062,26.2293,1.8256,27.8486,3.11,3.6512,8.0533,8.1469,1.8256,65.8857,0,3.11,0,1.8256,3.11,6.0695,12.3097,29.4206,7.9886,9.1415,0,26.9698,1.8256,4.8575,0,0,39.4062,10.2734,0,0,52.8971,0
9,0,0,3.0017,3.0017,0,0,13.8835,0,3.4766,12.41,1.7383,0,1.7383,5.8348,0,5.8927,0,178.1754,13.2916,10.432,51.2063,0,3.0017,0,9.7883,0,11.7878,0,1.7383,0,0,0,25.4477,8.6873,0,1.7383,25.4361,0,0,0,0,11.4115,5.1093,65.5462,0,8.3057,3.371,0,6.9088,4.1173,4.9715,0,0,32.2604,16.8642,0,5.2624,0,16.2386,33.3336,1.7383,1.7383,0,0,11.3308,6.6214,0,0,1.7383,0,0,1.7383,58.97,0,52.7584,3.371,0,7.9982,14.78,3.0017,37.88,0,0,0,5.1718,2.5041,7.1884,6.7298,75.9315,3.4766,0,3.0017,5.403,0,2.5041,0,0,46.7688,15.513,0,0,31.6578,1.7383
10,0,0,0,0,0,0,10.0293,0,15.7573,5.7279,0,0,6.0223,0,0,5.6147,0,143.1075,9.6883,2.3219,50.4749,0,3.7004,0,2.3219,0,12.512,0,0,0,0,0,30.0865,2.3219,0,0,15.5451,10.84,0,0,0,0,9.9024,53.3901,0,3.7004,6.0224,0,0,0,0,0,0,24.337,22.5149,2.3219,4.858,2.3219,27.2379,3.7004,0,0,18.3639,0,16.1829,10.8242,0,0,0,2.3219,9.1421,4.0875,14.0502,0,42.4785,0,0,0,9.7022,0,35.7484,0,0,0,0,0,4.6439,10.9837,28.2193,0,2.3219,0,19.9134,0,0,0,0,35.1092,9.3945,3.1699,0,54.0649,0
