Row,Col,Corr
1,Bacteroidetes_5.7N15,Firmicutes_1.68,-0.058081195
2,Firmicutes_Abiotrophia,Firmicutes_1.68,0.359030724
3,Firmicutes_Acidaminococcus,Firmicutes_1.68,0.17217992
4,Proteobacteria_Acinetobacter,Firmicutes_1.68,0.481357179
5,Proteobacteria_Actinobacillus,Firmicutes_1.68,0.431360881
6,Actinobacteria_Actinomyces,Firmicutes_1.68,0.345488092
7,Actinobacteria_Adlercreutzia,Firmicutes_1.68,-0.002958066
8,Proteobacteria_Aggregatibacter,Firmicutes_1.68,0.426296317
9,Verrucomicrobia_Akkermansia,Firmicutes_1.68,-0.118803493
10,Firmicutes_Anaerococcus,Firmicutes_1.68,0.646764076
11,Firmicutes_Anaerofustis,Firmicutes_1.68,-0.058081195
12,Firmicutes_Anaerostipes,Firmicutes_1.68,0.039448506
13,Firmicutes_Anaerotruncus,Firmicutes_1.68,-0.1902809
14,Firmicutes_Anaerovorax,Firmicutes_1.68,-0.141454603
15,Actinobacteria_Atopobium,Firmicutes_1.68,0.298102448
16,Proteobacteria_Azospira,Firmicutes_1.68,-0.072618887
17,Bacteroidetes_Bacteroides,Firmicutes_1.68,-0.115561607
18,Actinobacteria_Bifidobacterium,Firmicutes_1.68,-0.208056383
19,Proteobacteria_Bilophila,Firmicutes_1.68,-0.135277135
20,Firmicutes_Blautia,Firmicutes_1.68,-0.153765291
21,Proteobacteria_Brevundimonas,Firmicutes_1.68,-0.058081195
22,Firmicutes_Bulleidia,Firmicutes_1.68,0.482593734
23,Proteobacteria_Burkholderia,Firmicutes_1.68,-0.058081195
24,Bacteroidetes_Butyricimonas,Firmicutes_1.68,-0.158498248
25,Firmicutes_Butyrivibrio,Firmicutes_1.68,0.597155384
26,Proteobacteria_Campylobacter,Firmicutes_1.68,0.353291273
27,Bacteroidetes_Capnocytophaga,Firmicutes_1.68,0.1190885
28,Firmicutes_Catenibacterium,Firmicutes_1.68,0.386200636
29,Firmicutes_cc_115,Firmicutes_1.68,-0.058081195
30,Bacteroidetes_CF231,Firmicutes_1.68,-0.058081195
