Source,Target,Weight
cc_115,Brevundimonas,10
Dermatophilus,Brevundimonas,10
Macrococcus,Brevundimonas,10
Propionicimonas,Brevundimonas,10
Dermatophilus,cc_115,10
Macrococcus,cc_115,10
Propionicimonas,cc_115,10
Macrococcus,Dermatophilus,10
Propionicimonas,Dermatophilus,10
Propionicimonas,Macrococcus,10
Dehalobacterium,g_5-7N15,9.89414977
Azospira,g_5-7N15,9.60625878
Mitsuokella,Dysgonomonas,9.53437604
Dehalobacterium,Azospira,9.48704624
SHD.231,Burkholderia,9.21126779
Butyrivibrio,Anaerococcus,9.09082226
Peptoniphilus,Bulleidia,8.96048057
Peptoniphilus,Finegoldia,8.81646099
Dysgonomonas,Delftia,8.79435919
Methanobrevibacter,g_5-7N15,8.64938044
Ruminococcus,Coprococcus,8.56547449
Methanobrevibacter,Dehalobacterium,8.51252043
Sphaerochaeta,g_5-7N15,8.45466909
Coprococcus,Blautia,8.45318329
SHD.231,Scardovia,8.36439905
WAL_1855D,Kingella,8.34852745
Sphaerochaeta,Dehalobacterium,8.33148283
Leptotrichia,Campylobacter,8.31444911
Methanobrevibacter,Azospira,8.22207238
Enterococcus,Burkholderia,8.05766057
Sphaerochaeta,Azospira,8.05726216
Capnocytophaga,Butyrivibrio,8.04003211
Kingella,Filifactor,7.99035938
CF231,Acinetobacter,7.87767632
SHD.231,Lautropia,7.82411173
Mitsuokella,Delftia,7.80849315
Moryella,Acinetobacter,7.7982273
Finegoldia,Bulleidia,7.78842967
Roseburia,Anaerostipes,7.77356158
Haemophilus,Aggregatibacter,7.70942865
Rothia,Actinomyces,7.7000675
Lautropia,Burkholderia,7.67419756
Megamonas,Helicobacter,7.66026647
Azospira,Acidaminococcus,7.58296598
Bulleidia,Actinomyces,7.51474259
Eubacterium,Desulfovibrio,7.48205649
Neisseria,Lautropia,7.48018049
Prevotella,Moryella,7.43860062
Bulleidia,Atopobium,7.424738
SHD.231,Enterococcus,7.39466405
Peptostreptococcus,Atopobium,7.379145
Atopobium,Actinomyces,7.25308518
Prevotella,Leptotrichia,7.19002123
Megasphaera,Acidaminococcus,7.18762174
Selenomonas,Leptotrichia,7.17312721
Sphaerochaeta,Methanobrevibacter,7.1460356
Veillonella,Selenomonas,7.13840458
Neisseria,Eikenella,7.13235638
Dorea,Blautia,7.1160579
Scardovia,Abiotrophia,7.11541947
Peptoniphilus,Actinomyces,7.11441066
Moryella,Leptotrichia,7.11167798
SHD.231,Abiotrophia,7.0962248
Neisseria,Campylobacter,7.09324031
Schwartzia,Dialister,7.08594481
Selenomonas,Moryella,7.05529984
Eggerthella,Desulfovibrio,7.03203689
WAL_1855D,Catenibacterium,6.98951138
Neisseria,Leptotrichia,6.98283165
Neisseria,Aggregatibacter,6.86248831
Streptococcus,Rothia,6.82574108
WAL_1855D,Aggregatibacter,6.80582175
Catenibacterium,Aggregatibacter,6.76963067
Capnocytophaga,Campylobacter,6.73453079
Peptostreptococcus,Bulleidia,6.73293612
Catenibacterium,Actinobacillus,6.72662176
Leptotrichia,Butyrivibrio,6.70274921
Paraprevotella,Bacteroides,6.65796174
Selenomonas,Atopobium,6.65278222
Dehalobacterium,Acidaminococcus,6.63759966
Pseudoramibacter,Eggerthella,6.62322953
Peptostreptococcus,Parvimonas,6.59105912
Ruminococcus,Anaerotruncus,6.582459
Moryella,CF231,6.57772339
Christensenella,Anaerofustis,6.56722833
Ruminococcus,Blautia,6.56085956
Peptoniphilus,Filifactor,6.56045275
Sedimentibacter,Epulopiscium,6.5583778
Sphaerochaeta,Acidaminococcus,6.54790536
Scardovia,Enterococcus,6.52887622
Acidaminococcus,g_5-7N15,6.4867702
Anaerococcus,g_1-68,6.46764076
Coprococcus,Adlercreutzia,6.44608835
Scardovia,Burkholderia,6.39826934
Lautropia,Enterococcus,6.3970258
Prevotella,CF231,6.38230396
Prevotella,Acinetobacter,6.36288718
Dorea,Coprococcus,6.35154744
Slackia,g_1-68,6.34061845
Holdemania,Epulopiscium,6.33126995
Eikenella,Catenibacterium,6.30087898
Selenomonas,Schwartzia,6.29005111
Eikenella,Campylobacter,6.28431821
Scardovia,Lautropia,6.28310632
Leptotrichia,Acinetobacter,6.27819105
Ruminococcus,Oscillospira,6.25372843
Mitsuokella,Megasphaera,6.25214944
Collinsella,Adlercreutzia,6.24550682
Bacteroides,Actinomyces,-6.23984175
Bifidobacterium,Adlercreutzia,6.23596428
Capnocytophaga,Anaerococcus,6.22377193
Roseburia,Lachnospira,6.22014459
Fusobacterium,Campylobacter,6.20095349
Pseudoramibacter,Desulfovibrio,6.17937585
Lactococcus,CF231,6.17087717
Moryella,Bulleidia,6.16007755
Burkholderia,Abiotrophia,6.15445059
Finegoldia,Filifactor,6.12370869
Filifactor,Bulleidia,6.11861656
Neisseria,Catenibacterium,6.10554013
Rothia,Abiotrophia,6.09776676
Leptotrichia,Capnocytophaga,6.09671676
Peptoniphilus,g_1-68,6.07740694
Ruminococcus,Adlercreutzia,6.06727167
Haemophilus,Catenibacterium,6.02614255
Kingella,Aggregatibacter,6.01538916
Campylobacter,Butyrivibrio,6.01191363
