ID,#class
g_1-68,Firmicutes
g_5-7N15,Bacteroidetes
Abiotrophia,Firmicutes
Acidaminococcus,Firmicutes
Acinetobacter,Proteobacteria
Actinobacillus,Proteobacteria
Actinomyces,Actinobacteria
Adlercreutzia,Actinobacteria
Aggregatibacter,Proteobacteria
Akkermansia,Verrucomicrobia
Anaerococcus,Firmicutes
Anaerofustis,Firmicutes
Anaerostipes,Firmicutes
Anaerotruncus,Firmicutes
Anaerovorax,Firmicutes
Atopobium,Actinobacteria
Azospira,Proteobacteria
Bacteroides,Bacteroidetes
Bifidobacterium,Actinobacteria
Bilophila,Proteobacteria
Blautia,Firmicutes
Brevundimonas,Proteobacteria
Bulleidia,Firmicutes
Burkholderia,Proteobacteria
Butyricimonas,Bacteroidetes
Butyrivibrio,Firmicutes
Campylobacter,Proteobacteria
Capnocytophaga,Bacteroidetes
Catenibacterium,Firmicutes
cc_115,Firmicutes
CF231,Bacteroidetes
Christensenella,Firmicutes
Clostridium,Firmicutes
Collinsella,Actinobacteria
Comamonas,Proteobacteria
Coprobacillus,Firmicutes
Coprococcus,Firmicutes
Corynebacterium,Actinobacteria
Dehalobacterium,Firmicutes
Delftia,Proteobacteria
Dermatophilus,Actinobacteria
Desulfovibrio,Proteobacteria
Dialister,Firmicutes
Dorea,Firmicutes
Dysgonomonas,Bacteroidetes
Eggerthella,Actinobacteria
Eikenella,Proteobacteria
Enhydrobacter,Proteobacteria
Enterococcus,Firmicutes
Epulopiscium,Firmicutes
Eubacterium,Firmicutes
Filifactor,Firmicutes
Finegoldia,Firmicutes
Fusobacterium,Fusobacteria
Haemophilus,Proteobacteria
Helicobacter,Proteobacteria
Holdemania,Firmicutes
Kingella,Proteobacteria
Lachnospira,Firmicutes
Lactobacillus,Firmicutes
Lactococcus,Firmicutes
Lautropia,Proteobacteria
Leptotrichia,Fusobacteria
Macrococcus,Firmicutes
Megamonas,Firmicutes
Megasphaera,Firmicutes
Methanobrevibacter,Euryarchaeota
Mitsuokella,Firmicutes
Mogibacterium,Firmicutes
Moryella,Firmicutes
Neisseria,Proteobacteria
Odoribacter,Bacteroidetes
Oscillospira,Firmicutes
Oxalobacter,Proteobacteria
Paraprevotella,Bacteroidetes
Parvimonas,Firmicutes
Peptoniphilus,Firmicutes
Peptostreptococcus,Firmicutes
Phascolarctobacterium,Firmicutes
Porphyromonas,Bacteroidetes
Prevotella,Bacteroidetes
Propionicimonas,Actinobacteria
Proteus,Proteobacteria
Pseudomonas,Proteobacteria
Pseudoramibacter,Firmicutes
Pyramidobacter,Synergistetes
Roseburia,Firmicutes
Rothia,Actinobacteria
Ruminococcus,Firmicutes
Scardovia,Actinobacteria
Schwartzia,Firmicutes
Sedimentibacter,Firmicutes
Selenomonas,Firmicutes
SHD-231,Chloroflexi
Slackia,Actinobacteria
Sphaerochaeta,Spirochaetes
Staphylococcus,Firmicutes
Streptococcus,Firmicutes
Sutterella,Proteobacteria
TG5,Synergistetes
Turicibacter,Firmicutes
Veillonella,Firmicutes
WAL_1855D,Firmicutes
