Class,c_Bacteroidia,c_Clostridia,c_Bacilli,c_Erysipelotrichi,c_Alphaproteobacteria,c_Betaproteobacteria,c_Gammaproteobacteria,c_Deltaproteobacteria,c_Actinobacteria,c_Coriobacteriia,c_Fusobacteriia,c_Verrucomicrobiae
HBT_12,41.88171048,49.76874151,1.09217804,0.517381069,0.003827727,0.80765035,3.756275877,0.303666324,1.412431181,0.212438836,0.216904517,0
HBT_8,21.50719848,71.53940956,2.767351969,0.354321887,0,0.170158535,1.398381043,0.243683827,1.573441264,0.392134894,0,0
HBV_11,55.21927291,33.79293365,8.103296433,0.097538802,0.001893957,0.922357219,0.060606635,1.037888616,0.093750888,0.209282285,0.441292058,0.012310723
HBV_12,73.55424356,22.21596829,1.657425482,0.098200065,0,0.001197562,1.874184161,0.45507347,0.075446391,0.032334168,0.001197562,0.008382932
HBV_22,54.68080217,34.80950049,0.422666094,0.171864227,0,6.847590404,0.421666883,0.190849229,1.043175891,0.145884751,1.1850638,0.007993685
HBV_46,35.91528626,61.33307651,0.293507971,0.389815273,0,1.009850861,0.560416781,0.075211417,0.110065489,0.068790931,0.000917212,0.232971952
HBV_5,59.60989624,29.98261165,4.81959591,0.104897087,0.000945019,1.732219471,2.681963371,0.129467576,0.58591166,0.052921053,0.005670113,0.000945019
HBV_52,25.04110637,55.92679179,6.802432302,1.759053866,0,0.542903097,6.365957345,1.504343823,0.71151397,0.437072867,0.023916436,0.017339416
HBV_56,36.86609913,47.23287453,3.918370594,0.042167237,0.002386825,3.600922906,7.355398202,0.161508473,0.043758453,0.004773649,0.688996738,0.038984804
HBV_59,41.49291248,42.4406626,2.244725565,0.014422284,0,0.347164991,11.05159057,0.268872589,2.086080435,0.005150816,0.016482611,0
HBV_61,46.14662904,51.56690947,0.211285294,0.059100782,0,0.144796915,0.656757436,0.941918707,0.028811631,0.112291485,0.002216279,0.110075206
HBV_64,25.82222579,48.12028264,0.83025534,0.033724105,0.000802955,0.54360045,21.29516621,0.016862052,2.077244259,0.949092661,0.019270917,0.22081259
HBV_68,50.6854335,44.14341634,4.216706921,0.017489798,0.000832848,0.041642375,0.446406263,0.024985425,0.264845507,0.03997668,0.024152578,0
N39,59.21427347,27.19116435,2.663424426,0.06405601,0,0.539784086,10.17470563,0.058752009,0.019176003,0.054672009,0.004896001,0.004896001
N41,33.55716586,62.79710145,0.40257649,0.065217391,0,0.212560386,1.61352657,0.376811594,0.016908213,0.00805153,0.004830918,0.93236715
N42,76.85957714,17.65641257,0.016686625,0.014723493,0,3.48554153,1.630381437,0.066746501,0.12367734,0.003926265,0,0.11582481
N43,30.93759345,67.26013848,0.215076024,0.009201113,0,0.002300278,1.132887079,0.244979643,0.016101948,0.049455984,0,0.020702505
N44,31.06892345,66.65904239,0.121141269,0.030497103,0,0.520992172,0.130459829,0.166886924,0.000847142,0.060147064,0.001694283,0.995391549
N45,29.65260546,65.26054591,0.124069479,0.248138958,0,0.620347395,1.985111663,0.372208437,0.744416873,0,0.248138958,0.372208437
N72,38.11084594,57.22567627,0.046091918,0.008194119,0.00204853,1.850846555,0.225338263,0.593049339,0.050188977,0.975100122,0.008194119,0.666796407
ZR4_12,8.077349179,21.53540135,0.347467016,0.067982677,0,0.090643569,45.67680532,0.506093262,0.344949139,0.143518985,0.100715077,23.08137778
ZR4_14,40.43276759,23.2185508,13.16492937,0.017399282,0,1.221113238,10.87929644,0.082251151,0.151848278,0.031635058,0.901599152,8.014741937
ZR4_15,42.54956533,40.15885922,0.211082619,0.56445056,0,0.881856276,5.960347739,0.20170117,7.810056914,1.593282882,0.00312715,0.029707924
ZR4_16,36.60321879,52.29522812,1.263743998,0.106354693,0,0.993165147,7.81081377,0.525517306,0.048485228,0.154839921,0.012512317,0.134507406
ZR4_19,32.97841634,52.86552708,1.023058914,0.36400372,0.012828325,0.368814342,9.311760367,0.125076168,1.348577659,1.258779385,0.250152336,0.019242487
ZR4_2,26.76116037,29.8206202,0.318746715,0.24414642,0,0.17632797,3.637612112,1.263118631,0.182262084,0.849426086,28.41508282,0.018650074
ZR4_22,74.20607811,23.4360666,0.189331095,0.074170945,0.119063885,0.733901977,0.864677064,0.183475494,0.150293756,0.033181738,0.001951867,0
ZR4_23,23.69072664,57.72345615,4.449574591,0.625546888,0,0.491501126,8.355519148,0.135907508,1.679295515,2.787034796,0.001861747,0.03351144
ZR4_26,46.47605,18.67022182,0.208014221,0.190994875,0.001891038,0.253399141,10.97369566,0.285546794,0.121026456,0.6259337,0.646735122,21.04158393
ZR4_27,26.93680778,69.46084219,0.139146568,0.026704897,0.001405521,0.466632934,1.834204756,0,0.026704897,0.043571147,0.810985551,0.03232698
ZR4_28,73.15460426,24.60587716,1.156694233,0.403581788,0,0.012611931,0.486460191,0,0.07747329,0.021620453,0.009008522,0.018017044
ZR4_30,49.67170996,45.36111904,0.746502997,0.022837568,0.019982872,2.662003997,1.306023409,0.005709392,0.015700828,0.121324579,0.002854696,0.008564088
ZR4_31,64.08225165,29.92878808,1.948908272,0.035794352,0,0.760159002,0.151655018,0.145061321,0.048039788,0.226069592,1.747329553,0.146945235
