# Constructed from biom file
#OTU ID	HBT-12	ZR7-18	ZR9-19	ZR9-18	ZR9-11	ZR9-16	ZR9-15	ZR9-14	N39	ZR4-16	ZR4-12	ZR4-19	ZR4-76	ZR4-77	ZR4-79	ZR4-89	ZR4-15	ZR4-82	ZR4-81	HBV-11	HBV-12	ZR4-84	ZR4-67	ZR4-68	ZR4-52	ZR4-53	ZR4-54	ZR4-57	ZR4-39	ZR4-30	ZR4-46	ZR4-45	ZR4-44	ZR4-41	HBT-8	ZR9-7	ZR9-4	N72	HBV-68	HBV-64	HBV-61	ZR9-3	ZR9-1	ZR4-36	ZR9-5	ZR4-35	ZR9-20	N41	N43	N42	N44	ZR7-9	ZR7-8	HBV-52	ZR7-6	ZR4-28	ZR4-23	ZR4-22	ZR4-26	HBV-46	IMT17	ZR7-11	ZR4-2	ZR9-10	zsb1122	HBV-56	ZR7-22	ZR7-15	ZR7-1	ZR4-14	ZR4-69	ZR4-38	ZR4-33	HBV-22	HBV-59	HBV-5	ZR9-17	ZR4-55	ZR7-16	ZR9-13	ZR7-20	ZR4-63	ZR4-59	ZR9-2	ZR4-31	ZR9-21	zqq1205	ZR7-7	ZR4-27	ZR7-17	ZR9-9	ZR9-8	ZR7-12	ZR7-13	ZR9-12	ZR9-6	taxonomy
OTU_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; OTU_106
OTU_182	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	26	0	0	12	0	0	0	0	1	316	2	0	0	0	0	18	0	0	0	0	137	66	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Eikenella; OTU_182
OTU_261	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	16	0	0	0	0	110	0	0	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; OTU_261
OTU_909	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; OTU_909
OTU_97	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	1	1	0	1	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	2	11	6	35	0	0	0	1	0	1	0	0	3	0	0	0	0	0	20	0	0	0	0	1147	24	0	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; OTU_97
OTU_108	0	0	3	0	279	160	89	0	0	77	1	17	1	1	0	44	1	0	0	2	2	0	2	17	0	12	16	0	1	15	1	76	0	0	1	102	0	239	1	3	353	70	9	2	1	9	29	2	95	5	88	0	0	20	0	0	0	4	0	13	3	4	0	15	250	3	412	8	0	0	0	0	0	4	0	0	0	3	0	2	0	0	23	21	0	0	0	0	0	0	2	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__un_f_Lachnospiraceae; OTU_108
OTU_1116	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__un_o_Clostridiales; g__un_o_Clostridiales; OTU_1116
OTU_125	0	2	0	2	26	69	52	0	64	105	0	4	0	0	0	41	2	31	0	0	0	0	136	83	3	26	77	26	0	1	0	290	0	0	44	104	10	89	0	0	282	46	4	3	1	68	0	6	5	20	58	0	0	283	0	0	0	52	0	6	0	0	0	1	6	0	7	7	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__un_f_Ruminococcaceae; OTU_125
OTU_135	2	0	0	0	0	0	0	1	4	3	24	3	3	0	1	0	1	25	0	11	59	2	9	0	0	1	0	69	178	0	3	1	35	3	19	1	0	1	9	18	1	0	0	10	0	3	0	0	0	0	0	0	1	304	4	11	148	2	10	0	3	0	0	0	0	2	0	0	11	18	15	42	1	26	33	38	0	133	1	0	0	0	39	0	28	0	0	0	0	2	0	0	7	17	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; OTU_135
OTU_141	23	0	0	6	0	0	1	0	0	21	0	49	0	1	98	29	1	23	0	0	1	45	29	0	0	340	0	204	0	160	12	90	0	0	11	8	47	29	2	16	2	7	6	0	0	0	118	127	242	0	0	1	0	0	38	0	10	34	0	1	0	0	0	0	21	0	3	0	0	53	0	0	2	0	0	0	20	0	0	1	0	0	1	13	0	0	0	0	0	0	33	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; OTU_141
