Sample,Category,g__Anaerostipes,g__Prevotella,g__Parabacteroides,g__un_f_Ruminococcaceae,g__un_f_Lachnospiraceae,g__Phascolarctobacterium,g__Ruminococcus,g__Blautia,g__un_o_Clostridiales,g__Coprococcus,g__un_f_Barnesiellaceae,g__Odoribacter,g__Bilophila,g__Roseburia,g__un_f_Clostridiaceae,g__Lachnospira,g__Dorea,g__Butyricimonas,g__Desulfovibrio,g__Dialister,g__Megasphaera,g__Oscillospira,g__un_f_Rikenellaceae,g__Bifidobacterium,g__un_f_S24_7,g__Clostridium,g__Lactobacillus,g__Collinsella,g__Paraprevotella,g__Megamonas,g__Veillonella,g__Fusobacterium,g__Sutterella,g__Streptococcus,g__un_f_Enterobacteriaceae,g__Haemophilus,g__Bacteroides
N39,Healthy,405,128027,482,11642,18309,4039,474,3516,1717,1392,1,1,43,1387,874,5986,804,138,101,2537,150,333,94,16,13,404,3,97,1065,73,12492,1,1316,3700,23950,951,15309
N41,Healthy,1457,20598,1380,22138,8006,13122,3299,6003,2720,2709,148,5,1,114,8560,328,2810,10,467,68,1059,826,122,9,157,2165,1,0,1,2228,21,6,256,60,1998,6,19253
N42,Healthy,43,60931,778,4417,3006,4497,541,801,280,235,328,33,67,98,80,10,568,9,1,3039,7,83,41,122,14,187,1,0,30,38,17,0,3550,13,1661,0,16136
N43,Healthy,1478,81,1373,5888,4897,23384,2260,2277,2916,1786,86,119,0,4402,2331,396,1264,1,213,1894,2117,342,456,13,1475,456,61,1,2,132,158,0,2,76,697,288,19956
N44,Healthy,585,65,326,13008,14047,24479,4562,2314,10130,2491,84,73,195,149,1151,2232,1678,15,2,22,25,543,96,0,27,423,0,0,548,183,399,2,595,136,18,136,35440
N45,Healthy,6,15,8,95,78,162,36,23,15,7,1,0,2,11,3,19,7,2,1,6,13,1,4,6,6,5,0,0,1,27,11,2,4,1,3,13,202
N72,Healthy,202,696,1301,10163,9592,5299,1737,2109,3466,1220,1442,35,438,1045,1941,1640,387,35,141,43,26,413,284,46,4,196,11,597,1297,16175,13,8,1779,19,123,96,32113
ZR9_1,Healthy,1,59187,48,3287,738,866,244,37,878,207,1,19,0,120,164,757,49,21,111,754,0,228,11,0,447,6,0,5,94,1,12260,1,807,273,56,96,199
ZR9_10,Healthy,61,33973,251,5993,8954,7862,628,93,1178,23,5,82,80,1134,389,536,400,36,0,0,0,382,27,2,253,151,6,33,1002,1146,81,2876,324,26,2,233,11133
ZR9_11,Healthy,401,29,461,5761,1889,3636,2283,142,3076,30,2225,867,18,7,278,111,55,0,1,0,0,614,1726,2,80,271,0,0,0,1,8,0,706,4,608,64,32874
ZR9_12,Healthy,1,28,376,1162,1588,2989,41128,396,9,3,1,13,0,1,10738,2,4039,16,25,4,1,13,10,43,0,7128,1,0,258,6,2935,2114,3,82,9728,619,10964
ZR9_13,Healthy,192,76,2451,11019,7684,7398,1395,258,760,22,15,201,817,8645,1600,2015,496,0,2,7,3,206,288,424,30,866,1,89,2,13,736,18,365,33,43,621,22461
ZR9_14,Healthy,29,53,2390,3690,1139,4138,2015,271,303,91,3127,607,1084,11,49,28,371,1246,1,166,4482,1372,4108,95,1,46,2,228,1014,553,130,1,2386,30,612,6,39910
ZR9_2,Healthy,286,14565,386,2677,4488,9419,189,47,156,650,49,28,38,999,140,126,329,11,27,0,1,192,117,0,9,50,0,223,895,1124,139,0,126,7,9,57,13560
ZR9_3,Healthy,11,82791,1624,10493,926,5918,355,134,1118,298,39,209,144,312,245,330,192,362,883,7087,0,1518,72,1,1130,25,0,56,195,1,436,88,1361,22,349,131,1111
ZR9_4,Healthy,74,67,1181,4085,624,5226,441,200,1899,61,809,159,820,45,925,16,113,90,299,1601,0,210,1967,148,11,142,1,137,1,3,1599,1,428,27,2448,108,22450
ZR9_5,Healthy,139,112,592,2893,3957,19,625,821,123,5,0,1,250,110,3207,363,579,0,6,0,0,52,1,3,45,203,0,1,0,2,296,7290,56,16,1093,144,46297
ZR9_6,Healthy,44,74,394,2403,1495,6,521,413,37,1,0,3,4,347,1076,299,392,6,1,2,0,49,5,0,4,93,0,0,0,0,568,983,10297,465,4405,1416,61793
ZR9_7,Healthy,531,34629,1072,4193,4422,8779,289,136,667,372,323,56,241,933,119,101,40,97,2,0,3,406,224,0,175,160,0,1,1,1,44,4,125,14,10,75,13991
ZR9_8,Healthy,0,31,831,4473,792,26120,461,16,10,0,0,1,0,0,240,0,69,25,0,4,1,110,34,2,3,24,1,0,0,3,642,8170,247,7,12952,89,39334
ZR9_9,Healthy,292,24,974,1610,423,8275,935,187,423,30,843,732,136,579,119,519,44,213,1,170,5715,867,3384,207,186,148,0,51,0,2,134,255,1410,8,643,33,28042
HBT_8,HBVI,1177,19249,1398,18767,6258,8064,4351,3051,3013,9718,372,52,112,493,924,441,1715,10,211,1670,0,597,387,2198,3,793,3,313,289,38436,1386,0,231,3884,702,1282,8953
HBV_52,HBVI,1,91,9688,52046,18066,1809,7809,2857,6553,63,176,530,317,3,858,0,293,1235,2199,22,1,1410,1661,140,349,5,1,2,3,21,536,40,880,8280,10645,0,28147
